forecast_id,store_id,store_name,neighborhood,store_type,date,day_of_week,hour,forecast_orders,forecast_drinks,forecast_food_items,actual_orders,actual_drinks,actual_food_items,forecast_error_pct,weather_condition,temperature_f,local_event_flag,event_type,season,demand_level
FC0000037,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-22,Monday,16,83,58,25,76,60,16,-8.43,Overcast,61,No,None,Winter,High
FC0000038,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-22,Monday,17,86,59,27,82,62,20,-4.65,Overcast,61,No,None,Winter,High
FC0000039,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-22,Monday,20,34,23,11,34,26,8,0.0,Overcast,61,No,None,Winter,Moderate
FC0000040,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-22,Monday,21,17,12,5,19,13,6,11.76,Overcast,61,No,None,Winter,Low
FC0000041,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-29,Monday,6,31,21,10,29,21,8,-6.45,Partly Cloudy,61,No,None,Winter,Low
FC0000042,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-29,Monday,8,286,204,82,275,207,68,-3.85,Partly Cloudy,61,No,None,Winter,Very High
FC0000043,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-29,Monday,9,279,194,85,286,226,60,2.51,Partly Cloudy,61,No,None,Winter,Very High
FC0000044,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-29,Monday,10,76,54,22,69,47,22,-9.21,Partly Cloudy,61,No,None,Winter,High
FC0000045,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-29,Monday,11,81,62,19,75,59,16,-7.41,Partly Cloudy,61,No,None,Winter,High
FC0000046,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-29,Monday,13,74,50,24,72,55,17,-2.7,Partly Cloudy,61,No,None,Winter,High
FC0000047,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-29,Monday,14,104,79,25,84,59,25,-19.23,Partly Cloudy,61,No,None,Winter,High
FC0000048,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-29,Monday,15,73,56,17,73,53,20,0.0,Partly Cloudy,61,No,None,Winter,High
FC0000049,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-29,Monday,18,46,31,15,51,38,13,10.87,Partly Cloudy,61,No,None,Winter,Moderate
FC0000050,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-01-29,Monday,19,34,25,9,34,26,8,0.0,Partly Cloudy,61,No,None,Winter,Moderate
FC0000051,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-05,Monday,6,45,34,11,46,36,10,2.22,Overcast,68,Yes,SD Marathon,Winter,Moderate
FC0000052,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-05,Monday,7,162,123,39,166,131,35,2.47,Overcast,68,Yes,SD Marathon,Winter,Very High
FC0000053,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-05,Monday,9,240,178,62,222,156,66,-7.5,Overcast,68,Yes,SD Marathon,Winter,Very High
FC0000054,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-05,Monday,12,145,108,37,154,111,43,6.21,Overcast,68,Yes,SD Marathon,Winter,Very High
FC0000055,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-05,Monday,14,93,66,27,97,68,29,4.3,Overcast,68,Yes,SD Marathon,Winter,High
FC0000056,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-05,Monday,15,104,79,25,117,91,26,12.5,Overcast,68,Yes,SD Marathon,Winter,Very High
FC0000057,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-05,Monday,16,118,85,33,111,78,33,-5.93,Overcast,68,Yes,SD Marathon,Winter,Very High
FC0000058,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-05,Monday,19,78,56,22,76,55,21,-2.56,Overcast,68,Yes,SD Marathon,Winter,High
FC0000059,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-05,Monday,20,44,30,14,43,32,11,-2.27,Overcast,68,Yes,SD Marathon,Winter,Moderate
FC0000060,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-05,Monday,21,27,19,8,28,19,9,3.7,Overcast,68,Yes,SD Marathon,Winter,Low
FC0000061,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-12,Monday,6,33,25,8,33,25,8,0.0,Sunny,60,No,None,Winter,Moderate
FC0000062,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-12,Monday,7,192,139,53,221,174,47,15.1,Sunny,60,No,None,Winter,Very High
FC0000063,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-12,Monday,8,252,174,78,266,209,57,5.56,Sunny,60,No,None,Winter,Very High
FC0000064,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-12,Monday,9,217,156,61,209,153,56,-3.69,Sunny,60,No,None,Winter,Very High
FC0000065,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-12,Monday,10,101,69,32,104,81,23,2.97,Sunny,60,No,None,Winter,Very High
FC0000066,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-12,Monday,11,88,60,28,88,63,25,0.0,Sunny,60,No,None,Winter,High
FC0000067,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-12,Monday,12,132,98,34,140,111,29,6.06,Sunny,60,No,None,Winter,Very High
FC0000068,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-12,Monday,13,70,48,22,67,48,19,-4.29,Sunny,60,No,None,Winter,High
FC0000069,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-12,Monday,14,110,79,31,112,73,39,1.82,Sunny,60,No,None,Winter,Very High
FC0000070,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-12,Monday,17,80,59,21,72,50,22,-10.0,Sunny,60,No,None,Winter,High
FC0000071,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-19,Monday,6,22,15,7,19,12,7,-13.64,Sunny,66,No,None,Winter,Low
FC0000072,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-19,Monday,8,264,189,75,282,216,66,6.82,Sunny,66,No,None,Winter,Very High
FC0000073,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-19,Monday,10,127,88,39,124,96,28,-2.36,Sunny,66,No,None,Winter,Very High
FC0000074,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-19,Monday,11,64,45,19,59,43,16,-7.81,Sunny,66,No,None,Winter,Moderate
FC0000075,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-19,Monday,12,101,72,29,95,74,21,-5.94,Sunny,66,No,None,Winter,High
FC0000076,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-19,Monday,14,83,62,21,80,63,17,-3.61,Sunny,66,No,None,Winter,High
FC0000077,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-19,Monday,15,64,49,15,66,44,22,3.12,Sunny,66,No,None,Winter,High
FC0000078,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-19,Monday,16,132,93,39,142,103,39,7.58,Sunny,66,No,None,Winter,Very High
FC0000079,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-19,Monday,19,64,44,20,70,46,24,9.38,Sunny,66,No,None,Winter,High
FC0000080,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-19,Monday,21,14,9,5,14,9,5,0.0,Sunny,66,No,None,Winter,Low
FC0000081,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-26,Monday,6,32,24,8,31,21,10,-3.12,Partly Cloudy,59,No,None,Winter,Moderate
FC0000082,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-26,Monday,7,172,132,40,159,119,40,-7.56,Partly Cloudy,59,No,None,Winter,Very High
FC0000083,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-26,Monday,8,239,163,76,239,170,69,0.0,Partly Cloudy,59,No,None,Winter,Very High
FC0000084,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-26,Monday,11,88,66,22,93,70,23,5.68,Partly Cloudy,59,No,None,Winter,High
FC0000085,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-26,Monday,12,124,84,40,114,77,37,-8.06,Partly Cloudy,59,No,None,Winter,Very High
FC0000086,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-26,Monday,13,82,63,19,83,63,20,1.22,Partly Cloudy,59,No,None,Winter,High
FC0000087,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-26,Monday,15,71,52,19,70,54,16,-1.41,Partly Cloudy,59,No,None,Winter,High
FC0000088,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-26,Monday,19,40,28,12,39,28,11,-2.5,Partly Cloudy,59,No,None,Winter,Moderate
FC0000089,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-26,Monday,20,20,13,7,21,16,5,5.0,Partly Cloudy,59,No,None,Winter,Low
FC0000090,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-02-26,Monday,21,22,16,6,23,15,8,4.55,Partly Cloudy,59,No,None,Winter,Low
FC0000091,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-04,Monday,6,29,20,9,24,16,8,-17.24,Light Rain,63,Yes,SD Marathon,Spring,Low
FC0000092,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-04,Monday,7,227,168,59,248,174,74,9.25,Light Rain,63,Yes,SD Marathon,Spring,Very High
FC0000093,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-04,Monday,10,170,117,53,174,127,47,2.35,Light Rain,63,Yes,SD Marathon,Spring,Very High
FC0000094,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-04,Monday,11,172,131,41,205,146,59,19.19,Light Rain,63,Yes,SD Marathon,Spring,Very High
FC0000095,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-04,Monday,12,180,137,43,165,114,51,-8.33,Light Rain,63,Yes,SD Marathon,Spring,Very High
FC0000096,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-04,Monday,15,158,113,45,145,107,38,-8.23,Light Rain,63,Yes,SD Marathon,Spring,Very High
FC0000097,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-04,Monday,16,115,80,35,116,89,27,0.87,Light Rain,63,Yes,SD Marathon,Spring,Very High
FC0000098,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-04,Monday,18,62,43,19,57,39,18,-8.06,Light Rain,63,Yes,SD Marathon,Spring,Moderate
FC0000099,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-04,Monday,20,32,23,9,34,22,12,6.25,Light Rain,63,Yes,SD Marathon,Spring,Moderate
FC0000100,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-04,Monday,21,20,14,6,20,15,5,0.0,Light Rain,63,Yes,SD Marathon,Spring,Low
FC0000101,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-11,Monday,6,43,29,14,45,32,13,4.65,Partly Cloudy,62,No,None,Spring,Moderate
FC0000102,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-11,Monday,11,128,92,36,120,86,34,-6.25,Partly Cloudy,62,No,None,Spring,Very High
FC0000103,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-11,Monday,12,96,71,25,93,63,30,-3.12,Partly Cloudy,62,No,None,Spring,High
FC0000104,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-11,Monday,14,127,92,35,112,75,37,-11.81,Partly Cloudy,62,No,None,Spring,Very High
FC0000105,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-11,Monday,15,71,49,22,75,57,18,5.63,Partly Cloudy,62,No,None,Spring,High
FC0000106,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-11,Monday,16,114,88,26,122,97,25,7.02,Partly Cloudy,62,No,None,Spring,Very High
FC0000107,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-11,Monday,18,78,59,19,84,65,19,7.69,Partly Cloudy,62,No,None,Spring,High
FC0000108,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-11,Monday,19,50,37,13,47,36,11,-6.0,Partly Cloudy,62,No,None,Spring,Moderate
FC0000109,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-11,Monday,20,41,29,12,42,31,11,2.44,Partly Cloudy,62,No,None,Spring,Moderate
FC0000110,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-11,Monday,21,21,16,5,21,14,7,0.0,Partly Cloudy,62,No,None,Spring,Low
FC0000111,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-18,Monday,8,271,189,82,273,209,64,0.74,Overcast,64,No,None,Spring,Very High
FC0000112,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-18,Monday,10,105,75,30,112,86,26,6.67,Overcast,64,No,None,Spring,Very High
FC0000113,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-18,Monday,12,152,110,42,146,106,40,-3.95,Overcast,64,No,None,Spring,Very High
FC0000114,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-18,Monday,13,131,97,34,127,93,34,-3.05,Overcast,64,No,None,Spring,Very High
FC0000115,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-18,Monday,14,101,75,26,95,66,29,-5.94,Overcast,64,No,None,Spring,High
FC0000116,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-18,Monday,15,88,65,23,88,68,20,0.0,Overcast,64,No,None,Spring,High
FC0000117,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-18,Monday,16,118,90,28,114,82,32,-3.39,Overcast,64,No,None,Spring,Very High
FC0000118,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-18,Monday,17,75,58,17,71,48,23,-5.33,Overcast,64,No,None,Spring,High
FC0000119,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-18,Monday,18,67,46,21,67,47,20,0.0,Overcast,64,No,None,Spring,High
FC0000120,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-18,Monday,21,16,11,5,14,10,4,-12.5,Overcast,64,No,None,Spring,Low
FC0000121,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-25,Monday,6,31,23,8,30,22,8,-3.23,Partly Cloudy,62,Yes,SD Marathon,Spring,Moderate
FC0000122,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-25,Monday,7,248,177,71,277,182,95,11.69,Partly Cloudy,62,Yes,SD Marathon,Spring,Very High
FC0000123,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-25,Monday,8,344,253,91,374,254,120,8.72,Partly Cloudy,62,Yes,SD Marathon,Spring,Very High
FC0000124,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-25,Monday,9,374,275,99,381,294,87,1.87,Partly Cloudy,62,Yes,SD Marathon,Spring,Very High
FC0000125,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-25,Monday,10,159,117,42,160,113,47,0.63,Partly Cloudy,62,Yes,SD Marathon,Spring,Very High
FC0000126,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-25,Monday,11,144,102,42,141,110,31,-2.08,Partly Cloudy,62,Yes,SD Marathon,Spring,Very High
FC0000127,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-25,Monday,14,109,81,28,98,76,22,-10.09,Partly Cloudy,62,Yes,SD Marathon,Spring,High
FC0000128,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-25,Monday,16,174,135,39,170,120,50,-2.3,Partly Cloudy,62,Yes,SD Marathon,Spring,Very High
FC0000129,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-25,Monday,18,94,65,29,95,69,26,1.06,Partly Cloudy,62,Yes,SD Marathon,Spring,High
FC0000130,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-03-25,Monday,21,26,18,8,23,15,8,-11.54,Partly Cloudy,62,Yes,SD Marathon,Spring,Low
FC0000131,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-01,Monday,8,155,113,42,142,106,36,-8.39,Partly Cloudy,65,No,None,Spring,Very High
FC0000132,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-01,Monday,9,224,159,65,228,172,56,1.79,Partly Cloudy,65,No,None,Spring,Very High
FC0000133,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-01,Monday,10,83,61,22,73,56,17,-12.05,Partly Cloudy,65,No,None,Spring,High
FC0000134,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-01,Monday,12,118,81,37,127,95,32,7.63,Partly Cloudy,65,No,None,Spring,Very High
FC0000135,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-01,Monday,13,70,48,22,72,51,21,2.86,Partly Cloudy,65,No,None,Spring,High
FC0000136,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-01,Monday,15,106,77,29,120,89,31,13.21,Partly Cloudy,65,No,None,Spring,Very High
FC0000137,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-01,Monday,16,63,48,15,61,45,16,-3.17,Partly Cloudy,65,No,None,Spring,High
FC0000138,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-01,Monday,17,112,81,31,113,84,29,0.89,Partly Cloudy,65,No,None,Spring,Very High
FC0000139,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-01,Monday,18,49,34,15,48,35,13,-2.04,Partly Cloudy,65,No,None,Spring,Moderate
FC0000140,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-01,Monday,19,30,21,9,30,22,8,0.0,Partly Cloudy,65,No,None,Spring,Moderate
FC0000141,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-08,Monday,6,42,32,10,48,34,14,14.29,Sunny,66,No,None,Spring,Moderate
FC0000142,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-08,Monday,7,190,143,47,200,139,61,5.26,Sunny,66,No,None,Spring,Very High
FC0000143,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-08,Monday,9,256,176,80,278,221,57,8.59,Sunny,66,No,None,Spring,Very High
FC0000144,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-08,Monday,10,108,81,27,101,70,31,-6.48,Sunny,66,No,None,Spring,Very High
FC0000145,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-08,Monday,11,82,56,26,79,56,23,-3.66,Sunny,66,No,None,Spring,High
FC0000146,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-08,Monday,12,80,55,25,63,43,20,-21.25,Sunny,66,No,None,Spring,High
FC0000147,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-08,Monday,15,108,76,32,91,68,23,-15.74,Sunny,66,No,None,Spring,High
FC0000148,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-08,Monday,17,57,44,13,59,44,15,3.51,Sunny,66,No,None,Spring,Moderate
FC0000149,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-08,Monday,19,35,23,12,36,26,10,2.86,Sunny,66,No,None,Spring,Moderate
FC0000150,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-08,Monday,21,16,12,4,15,10,5,-6.25,Sunny,66,No,None,Spring,Low
FC0000151,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-15,Monday,6,53,37,16,60,46,14,13.21,Overcast,65,Yes,Padres Home Game,Spring,High
FC0000152,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-15,Monday,7,188,136,52,192,141,51,2.13,Overcast,65,Yes,Padres Home Game,Spring,Very High
FC0000153,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-15,Monday,10,183,126,57,194,143,51,6.01,Overcast,65,Yes,Padres Home Game,Spring,Very High
FC0000154,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-15,Monday,12,119,83,36,125,84,41,5.04,Overcast,65,Yes,Padres Home Game,Spring,Very High
FC0000155,SD001,Starbucks - Gaslamp Quarter,Downtown,downtown,2024-04-15,Monday,13,180,131,49,168,119,49,-6.67,Overcast,65,Yes,Padres Home Game,Spring,Very High
