promotion_id,store_id,store_name,neighborhood,promo_name,promo_type,item_name,item_category,start_date,end_date,base_price,discount_pct,discounted_price,estimated_unit_cost,gross_margin_dollars,gross_margin_pct,expected_lift_pct,actual_lift_pct,inventory_risk,recommended_action
PRO000038,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,Weekend Brunch Bundle,Happy Hour,Chocolate Cookie,Bakery,2024-04-13,2024-05-04,2.95,20,2.36,0.9,1.46,61.86,35.3,32.6,High,Monitor daily sell-through
PRO000039,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,New Drink Launch,BOGO,Iced Chai Tea Latte,Iced Tea,2024-09-12,2024-10-12,5.95,15,5.06,1.75,3.31,65.42,39.8,33.8,Medium,Monitor daily sell-through
PRO000040,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,Morning Rush Deal,New Item Launch,Caramel Frappuccino,Frappuccino,2024-06-26,2024-07-03,5.75,25,4.31,1.85,2.46,57.08,26.4,26.0,Medium,Limit to high-traffic stores
PRO000041,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,Happy Hour Frappuccino,New Item Launch,Matcha Tea Latte,Hot Tea,2024-01-20,2024-02-03,4.75,10,4.28,1.3,2.98,69.63,38.4,52.7,High,Monitor daily sell-through
PRO000042,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,Summer Refresher Special,Bundle,Protein Box,Lunch,2024-01-14,2024-02-13,6.95,30,4.87,2.8,2.07,42.51,20.5,14.5,Medium,Extend promotion by 1 week
PRO000043,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,App Exclusive Deal,BOGO,Vanilla Latte,Hot Espresso,2024-05-28,2024-06-18,5.45,50,2.73,1.5,1.23,45.05,19.7,31.5,High,Limit to high-traffic stores
PRO000044,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,Padres Game Day Offer,BOGO,Mango Dragonfruit Refresher,Refresher,2024-10-08,2024-10-22,5.95,20,4.76,1.6,3.16,66.39,26.3,37.7,Medium,Bundle with low-moving item
PRO000045,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,Matcha Mania,Bundle,Butter Croissant,Bakery,2024-04-30,2024-05-21,3.45,5,3.28,1.1,2.18,66.46,33.2,36.5,High,Increase inventory buffer 15%
PRO000046,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,Back to School Deal,Happy Hour,Iced Caramel Macchiato,Iced Espresso,2024-09-19,2024-09-26,5.45,5,5.18,1.45,3.73,72.01,15.7,13.6,Low,Limit to high-traffic stores
PRO000047,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,Loyalty Double Stars,Seasonal,Spinach Feta Wrap,Breakfast,2024-04-28,2024-05-28,5.25,50,2.62,2.05,0.57,21.76,36.1,41.8,High,Monitor daily sell-through
PRO000048,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,Summer Refresher Special,BOGO,Java Chip Frappuccino,Frappuccino,2024-02-16,2024-02-23,6.45,20,5.16,2.25,2.91,56.4,41.8,18.1,Medium,Proceed as planned
PRO000049,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,App Exclusive Deal,Discount,Butter Croissant,Bakery,2024-08-09,2024-08-23,3.45,30,2.42,1.1,1.32,54.55,11.9,8.7,Medium,Monitor daily sell-through
PRO000050,SD002,Starbucks - Pacific Beach Boardwalk,Pacific Beach,Happy Hour Frappuccino,Bundle,Pumpkin Spice Latte,Hot Espresso,2024-09-14,2024-10-05,5.45,15,4.63,1.55,3.08,66.52,15.4,8.5,Medium,Limit to high-traffic stores
PRO000051,SD003,Starbucks - UCSD Campus,La Jolla,Reusable Cup Discount,Happy Hour,Mocha Frappuccino,Frappuccino,2024-07-29,2024-08-19,5.75,50,2.88,1.9,0.98,34.03,35.4,27.7,High,Monitor daily sell-through
PRO000052,SD003,Starbucks - UCSD Campus,La Jolla,Seasonal PSL Promo,Happy Hour,Nitro Cold Brew,Iced Espresso,2024-03-26,2024-04-09,5.75,30,4.02,1.65,2.37,58.96,17.4,17.8,Medium,Limit to high-traffic stores
PRO000053,SD003,Starbucks - UCSD Campus,La Jolla,Padres Game Day Offer,Bundle,Iced Caramel Macchiato,Iced Espresso,2024-03-12,2024-03-19,5.95,50,2.98,1.7,1.28,42.95,28.1,25.9,High,Limit to high-traffic stores
PRO000054,SD003,Starbucks - UCSD Campus,La Jolla,Loyalty Double Stars,BOGO,Caramel Frappuccino,Frappuccino,2024-06-29,2024-07-06,6.25,5,5.94,2.15,3.79,63.8,32.2,43.7,High,Monitor daily sell-through
PRO000055,SD003,Starbucks - UCSD Campus,La Jolla,Happy Hour Frappuccino,Bundle,Mocha Frappuccino,Frappuccino,2024-10-16,2024-11-06,5.25,20,4.2,1.6,2.6,61.9,11.2,8.7,High,Monitor daily sell-through
PRO000056,SD003,Starbucks - UCSD Campus,La Jolla,Padres Game Day Offer,New Item Launch,Flat White,Hot Espresso,2024-01-15,2024-02-14,5.25,15,4.46,1.35,3.11,69.73,43.0,34.3,High,Monitor daily sell-through
PRO000057,SD003,Starbucks - UCSD Campus,La Jolla,Breakfast Combo Saver,BOGO,Matcha Tea Latte,Hot Tea,2024-03-05,2024-03-19,5.75,20,4.6,1.8,2.8,60.87,16.0,7.4,High,Monitor daily sell-through
PRO000058,SD003,Starbucks - UCSD Campus,La Jolla,Happy Hour Frappuccino,BOGO,Iced Chai Tea Latte,Iced Tea,2024-07-14,2024-07-21,5.45,25,4.09,1.5,2.59,63.33,27.0,29.0,High,Increase inventory buffer 15%
PRO000059,SD003,Starbucks - UCSD Campus,La Jolla,Seasonal PSL Promo,Seasonal,Iced Latte,Iced Espresso,2024-05-10,2024-05-24,4.65,30,3.25,1.15,2.1,64.62,23.5,30.9,High,Increase inventory buffer 15%
PRO000060,SD003,Starbucks - UCSD Campus,La Jolla,Afternoon Iced Special,Discount,Iced Matcha Tea Latte,Iced Tea,2024-06-16,2024-06-30,5.45,25,4.09,1.6,2.49,60.88,35.2,43.0,High,Increase inventory buffer 15%
PRO000061,SD003,Starbucks - UCSD Campus,La Jolla,Birthday Month Promo,BOGO,Nitro Cold Brew,Iced Espresso,2024-07-12,2024-08-02,5.75,25,4.31,1.65,2.66,61.72,14.9,13.8,Medium,Extend promotion by 1 week
PRO000062,SD003,Starbucks - UCSD Campus,La Jolla,Weekend Brunch Bundle,Seasonal,Flat White,Hot Espresso,2024-04-08,2024-04-29,5.75,10,5.17,1.6,3.57,69.05,25.7,25.3,High,Increase inventory buffer 15%
PRO000063,SD003,Starbucks - UCSD Campus,La Jolla,Loyalty Double Stars,Bundle,Vanilla Latte,Hot Espresso,2024-04-02,2024-04-16,4.95,15,4.21,1.25,2.96,70.31,44.6,40.5,Medium,Add upsell training for baristas
PRO000064,SD003,Starbucks - UCSD Campus,La Jolla,Padres Game Day Offer,Loyalty,Pike Place Roast,Brewed Coffee,2024-06-16,2024-06-30,2.45,15,2.08,0.55,1.53,73.56,23.3,24.1,Medium,Proceed as planned
PRO000065,SD003,Starbucks - UCSD Campus,La Jolla,Cold Brew Weekend,New Item Launch,Vanilla Latte,Hot Espresso,2024-03-08,2024-03-15,5.45,30,3.81,1.5,2.31,60.63,16.3,18.3,Medium,Bundle with low-moving item
PRO000066,SD003,Starbucks - UCSD Campus,La Jolla,Padres Game Day Offer,BOGO,Caramel Macchiato,Hot Espresso,2024-06-20,2024-07-11,5.75,50,2.88,1.65,1.23,42.71,17.0,24.6,High,Monitor daily sell-through
PRO000067,SD003,Starbucks - UCSD Campus,La Jolla,Padres Game Day Offer,New Item Launch,Mango Dragonfruit Refresher,Refresher,2024-04-26,2024-05-17,5.95,30,4.17,1.6,2.57,61.63,11.1,20.2,Medium,Bundle with low-moving item
PRO000068,SD003,Starbucks - UCSD Campus,La Jolla,Pink Drink Summer,Bundle,Iced Latte,Iced Espresso,2024-01-11,2024-01-18,4.65,25,3.49,1.15,2.34,67.05,34.1,39.8,High,Monitor daily sell-through
PRO000069,SD003,Starbucks - UCSD Campus,La Jolla,Loyalty Double Stars,BOGO,Cold Brew Coffee,Iced Espresso,2024-01-03,2024-01-24,4.25,5,4.04,1.05,2.99,74.01,37.5,50.7,Medium,Bundle with low-moving item
PRO000070,SD003,Starbucks - UCSD Campus,La Jolla,Seasonal PSL Promo,Happy Hour,Iced Chai Tea Latte,Iced Tea,2024-09-16,2024-10-16,4.95,25,3.71,1.25,2.46,66.31,10.9,10.3,Medium,Reduce discount to protect margin
PRO000071,SD003,Starbucks - UCSD Campus,La Jolla,Breakfast Combo Saver,Loyalty,Blonde Roast,Brewed Coffee,2024-08-26,2024-09-02,3.95,50,1.98,0.95,1.03,52.02,15.4,14.6,Medium,Limit to high-traffic stores
PRO000072,SD003,Starbucks - UCSD Campus,La Jolla,Breakfast Combo Saver,Loyalty,Protein Box,Lunch,2024-08-06,2024-09-05,6.95,20,5.56,2.8,2.76,49.64,40.0,48.5,High,Monitor daily sell-through
PRO000073,SD003,Starbucks - UCSD Campus,La Jolla,Weekend Brunch Bundle,Bundle,Chai Tea Latte,Hot Tea,2024-08-28,2024-09-11,5.75,20,4.6,1.7,2.9,63.04,11.7,23.7,High,Monitor daily sell-through
PRO000074,SD003,Starbucks - UCSD Campus,La Jolla,Student Discount Week,Happy Hour,Bacon Gouda Sandwich,Breakfast,2024-03-19,2024-04-18,5.25,5,4.99,2.1,2.89,57.92,24.1,30.9,Medium,Extend promotion by 1 week
PRO000075,SD003,Starbucks - UCSD Campus,La Jolla,Seasonal PSL Promo,Discount,Cold Brew Coffee,Iced Espresso,2024-08-11,2024-08-18,5.95,5,5.65,1.65,4.0,70.8,24.6,24.5,Medium,Add upsell training for baristas
PRO000076,SD004,Starbucks - Mission Valley Mall,Mission Valley,Loyalty Double Stars,Discount,Protein Box,Lunch,2024-03-24,2024-03-31,6.95,5,6.6,2.8,3.8,57.58,40.3,34.0,Medium,Reduce discount to protect margin
PRO000077,SD004,Starbucks - Mission Valley Mall,Mission Valley,Padres Game Day Offer,BOGO,Pike Place Roast,Brewed Coffee,2024-06-16,2024-06-23,2.95,5,2.8,0.65,2.15,76.79,22.0,12.0,Medium,Add upsell training for baristas
PRO000078,SD004,Starbucks - Mission Valley Mall,Mission Valley,Matcha Mania,Bundle,Vanilla Bean Frappuccino,Frappuccino,2024-06-22,2024-07-22,5.45,50,2.73,1.75,0.98,35.9,39.6,49.3,High,Increase inventory buffer 15%
PRO000079,SD004,Starbucks - Mission Valley Mall,Mission Valley,Breakfast Combo Saver,Happy Hour,Butter Croissant,Bakery,2024-09-25,2024-10-16,3.45,10,3.11,1.1,2.01,64.63,43.4,34.2,Medium,Monitor daily sell-through
PRO000080,SD004,Starbucks - Mission Valley Mall,Mission Valley,App Exclusive Deal,New Item Launch,Iced Latte,Iced Espresso,2024-08-18,2024-09-08,4.65,5,4.42,1.15,3.27,73.98,32.2,21.6,High,Limit to high-traffic stores
PRO000081,SD004,Starbucks - Mission Valley Mall,Mission Valley,Birthday Month Promo,Seasonal,Iced Matcha Tea Latte,Iced Tea,2024-05-30,2024-06-13,4.95,10,4.46,1.35,3.11,69.73,35.1,34.5,High,Monitor daily sell-through
PRO000082,SD004,Starbucks - Mission Valley Mall,Mission Valley,Beach Vibes Bundle,BOGO,Iced Latte,Iced Espresso,2024-02-18,2024-03-03,4.65,5,4.42,1.15,3.27,73.98,15.2,14.7,Low,Reduce discount to protect margin
PRO000083,SD004,Starbucks - Mission Valley Mall,Mission Valley,New Drink Launch,Seasonal,Matcha Tea Latte,Hot Tea,2024-09-12,2024-09-19,5.25,30,3.67,1.55,2.12,57.77,15.0,8.5,Medium,Reduce discount to protect margin
PRO000084,SD004,Starbucks - Mission Valley Mall,Mission Valley,Birthday Month Promo,New Item Launch,Spinach Feta Wrap,Breakfast,2024-03-15,2024-03-29,5.25,30,3.67,2.05,1.62,44.14,18.6,18.1,Medium,Proceed as planned
PRO000085,SD004,Starbucks - Mission Valley Mall,Mission Valley,Breakfast Combo Saver,BOGO,Chocolate Cookie,Bakery,2024-09-13,2024-10-13,2.95,15,2.51,0.9,1.61,64.14,18.1,22.2,High,Monitor daily sell-through
PRO000086,SD004,Starbucks - Mission Valley Mall,Mission Valley,Seasonal PSL Promo,Discount,Mango Dragonfruit Refresher,Refresher,2024-03-05,2024-03-26,4.95,30,3.46,1.2,2.26,65.32,44.4,41.5,High,Limit to high-traffic stores
PRO000087,SD004,Starbucks - Mission Valley Mall,Mission Valley,Loyalty Double Stars,BOGO,Iced Americano,Iced Espresso,2024-02-20,2024-03-05,4.65,10,4.19,1.2,2.99,71.36,18.9,15.6,Medium,Extend promotion by 1 week
PRO000088,SD004,Starbucks - Mission Valley Mall,Mission Valley,Summer Refresher Special,BOGO,Spinach Feta Wrap,Breakfast,2024-07-03,2024-07-24,5.25,15,4.46,2.05,2.41,54.04,17.1,16.2,High,Increase inventory buffer 15%
PRO000089,SD004,Starbucks - Mission Valley Mall,Mission Valley,Student Discount Week,Happy Hour,Cold Brew Coffee,Iced Espresso,2024-03-09,2024-03-30,5.25,15,4.46,1.45,3.01,67.49,26.7,20.7,High,Monitor daily sell-through
PRO000090,SD004,Starbucks - Mission Valley Mall,Mission Valley,Birthday Month Promo,Loyalty,Cake Pop,Bakery,2024-06-01,2024-06-22,3.95,5,3.75,1.25,2.5,66.67,27.0,25.0,High,Monitor daily sell-through
PRO000091,SD004,Starbucks - Mission Valley Mall,Mission Valley,Cold Brew Weekend,Discount,Strawberry Acai Refresher,Refresher,2024-04-25,2024-05-09,4.95,20,3.96,1.2,2.76,69.7,34.6,39.4,Medium,Extend promotion by 1 week
PRO000092,SD004,Starbucks - Mission Valley Mall,Mission Valley,Reusable Cup Discount,BOGO,Blonde Roast,Brewed Coffee,2024-06-02,2024-07-02,2.45,50,1.23,0.55,0.68,55.28,32.5,10.2,High,Increase inventory buffer 15%
PRO000093,SD004,Starbucks - Mission Valley Mall,Mission Valley,Padres Game Day Offer,BOGO,Iced Chai Tea Latte,Iced Tea,2024-08-31,2024-09-21,5.45,50,2.73,1.5,1.23,45.05,42.7,21.3,High,Increase inventory buffer 15%
PRO000094,SD004,Starbucks - Mission Valley Mall,Mission Valley,Summer Refresher Special,Seasonal,Chocolate Cookie,Bakery,2024-10-07,2024-10-21,2.95,25,2.21,0.9,1.31,59.28,19.0,9.2,High,Increase inventory buffer 15%
PRO000095,SD004,Starbucks - Mission Valley Mall,Mission Valley,Pink Drink Summer,Happy Hour,Pink Drink,Refresher,2024-03-10,2024-03-31,5.75,20,4.6,1.65,2.95,64.13,39.8,41.1,High,Limit to high-traffic stores
PRO000096,SD004,Starbucks - Mission Valley Mall,Mission Valley,Pink Drink Summer,Discount,Cappuccino,Hot Espresso,2024-07-13,2024-08-12,5.25,10,4.73,1.5,3.23,68.29,33.4,29.1,Medium,Add upsell training for baristas
PRO000097,SD004,Starbucks - Mission Valley Mall,Mission Valley,Back to School Deal,Discount,Cold Brew Coffee,Iced Espresso,2024-01-28,2024-02-04,4.75,15,4.04,1.25,2.79,69.06,30.2,17.1,Medium,Increase inventory buffer 15%
PRO000098,SD004,Starbucks - Mission Valley Mall,Mission Valley,Loyalty Double Stars,BOGO,Cappuccino,Hot Espresso,2024-06-06,2024-06-27,4.45,10,4.0,1.1,2.9,72.5,24.7,35.3,Medium,Bundle with low-moving item
PRO000099,SD004,Starbucks - Mission Valley Mall,Mission Valley,Pink Drink Summer,Discount,Pike Place Roast,Brewed Coffee,2024-01-23,2024-02-06,3.95,25,2.96,0.95,2.01,67.91,10.2,11.1,High,Limit to high-traffic stores
PRO000100,SD004,Starbucks - Mission Valley Mall,Mission Valley,App Exclusive Deal,Loyalty,Mocha Frappuccino,Frappuccino,2024-04-15,2024-05-06,5.75,15,4.89,1.9,2.99,61.15,38.2,44.4,Medium,Bundle with low-moving item
PRO000101,SD005,Starbucks - North Park,North Park,Evening Wind-Down Offer,Bundle,Caramel Frappuccino,Frappuccino,2024-06-09,2024-07-09,5.75,30,4.02,1.85,2.17,53.98,12.0,16.8,Medium,Bundle with low-moving item
PRO000102,SD005,Starbucks - North Park,North Park,Afternoon Iced Special,BOGO,Iced Caramel Macchiato,Iced Espresso,2024-06-01,2024-06-15,6.45,25,4.84,1.95,2.89,59.71,37.2,51.9,High,Limit to high-traffic stores
PRO000103,SD005,Starbucks - North Park,North Park,Breakfast Combo Saver,Bundle,Iced Latte,Iced Espresso,2024-02-29,2024-03-07,5.15,10,4.64,1.35,3.29,70.91,35.7,40.1,Medium,Extend promotion by 1 week
PRO000104,SD005,Starbucks - North Park,North Park,Pink Drink Summer,Happy Hour,Spinach Feta Wrap,Breakfast,2024-04-10,2024-05-01,5.25,15,4.46,2.05,2.41,54.04,37.4,49.7,High,Monitor daily sell-through
PRO000105,SD005,Starbucks - North Park,North Park,Back to School Deal,Discount,Pumpkin Spice Latte,Hot Espresso,2024-03-10,2024-04-09,5.45,25,4.09,1.55,2.54,62.1,36.3,40.4,High,Limit to high-traffic stores
PRO000106,SD005,Starbucks - North Park,North Park,New Drink Launch,BOGO,Mocha Frappuccino,Frappuccino,2024-10-12,2024-11-02,5.75,25,4.31,1.9,2.41,55.92,39.7,44.1,High,Monitor daily sell-through
PRO000107,SD005,Starbucks - North Park,North Park,Seasonal PSL Promo,New Item Launch,Vanilla Bean Frappuccino,Frappuccino,2024-04-02,2024-04-23,4.95,20,3.96,1.45,2.51,63.38,14.8,10.6,Medium,Monitor daily sell-through
PRO000108,SD005,Starbucks - North Park,North Park,Morning Rush Deal,Happy Hour,Bacon Gouda Sandwich,Breakfast,2024-04-29,2024-05-06,5.25,10,4.73,2.1,2.63,55.6,30.1,38.1,Medium,Extend promotion by 1 week
PRO000109,SD005,Starbucks - North Park,North Park,Weekend Brunch Bundle,New Item Launch,Butter Croissant,Bakery,2024-06-17,2024-07-01,3.45,50,1.73,1.1,0.63,36.42,12.7,4.2,High,Increase inventory buffer 15%
PRO000110,SD005,Starbucks - North Park,North Park,Cold Brew Weekend,BOGO,Java Chip Frappuccino,Frappuccino,2024-05-11,2024-05-18,5.45,50,2.73,1.65,1.08,39.56,42.3,47.1,High,Limit to high-traffic stores
