inventory_id,store_id,store_name,neighborhood,date,ingredient,ingredient_category,opening_stock_units,received_units,used_units,closing_stock_units,reorder_point,spoilage_units,forecasted_usage_units,usage_variance_pct,stock_status,inventory_flag,supplier_delay_flag
INV0000024,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Mocha Sauce,Syrups & Sauces,244,0,88,156,76,0,104,-15.38,Healthy,neutral,No
INV0000025,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-05,Croissant Dough,Bakery Ingredients,53,0,21,32,20,0,28,-25.0,Healthy,neutral,No
INV0000026,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Frappuccino Base,Specialty,121,0,59,62,49,0,55,7.27,Healthy,neutral,No
INV0000027,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Almond Milk,Dairy Alternative,350,0,108,242,100,0,115,-6.09,Healthy,neutral,No
INV0000028,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Espresso Beans,Coffee & Tea,696,0,257,439,250,0,329,-21.88,Healthy,neutral,No
INV0000029,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Vanilla Syrup,Syrups & Sauces,220,142,104,258,76,0,104,0.0,Overstocked,promote,No
INV0000030,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Cold Brew Concentrate,Coffee & Tea,724,275,254,745,220,0,283,-10.25,Overstocked,promote,No
INV0000031,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Napkins,Supplies,1272,0,456,816,364,0,487,-6.37,Healthy,neutral,No
INV0000032,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Chai Concentrate,Coffee & Tea,811,0,340,471,258,0,325,4.62,Healthy,neutral,No
INV0000033,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Eggs,Food Ingredients,39,0,10,29,10,0,12,-16.67,Healthy,neutral,No
INV0000034,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Hazelnut Syrup,Syrups & Sauces,115,0,61,54,48,0,56,8.93,Healthy,neutral,No
INV0000035,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Strawberry Acai Base,Specialty,157,0,91,66,76,0,82,10.98,Low,neutral,No
INV0000036,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,2% Milk,Dairy,1059,0,403,656,336,0,441,-8.62,Healthy,neutral,No
INV0000037,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Croissant Dough,Bakery Ingredients,91,0,50,41,32,0,35,42.86,Healthy,neutral,No
INV0000038,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Mocha Sauce,Syrups & Sauces,135,82,81,136,65,0,74,9.46,Healthy,neutral,No
INV0000039,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Bacon,Food Ingredients,111,0,46,65,37,0,45,2.22,Healthy,neutral,No
INV0000040,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Whipped Cream,Dairy,852,363,399,816,290,0,398,0.25,Healthy,neutral,No
INV0000041,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Paper Cups,Supplies,847,0,542,305,425,0,525,3.24,Low,neutral,No
INV0000042,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Whole Milk,Dairy,389,0,236,153,165,0,210,12.38,Low,neutral,No
INV0000043,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Dragonfruit Powder,Specialty,186,0,108,78,73,0,76,42.11,Healthy,neutral,No
INV0000044,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Ice,Other,176,0,88,88,58,0,68,29.41,Healthy,save,Yes
INV0000045,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Sandwich Bread,Food Ingredients,56,30,17,69,16,0,19,-10.53,Overstocked,promote,No
INV0000046,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Matcha Powder,Coffee & Tea,551,0,169,382,157,0,208,-18.75,Healthy,neutral,No
INV0000047,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Straws,Supplies,1444,735,462,1717,392,0,504,-8.33,Overstocked,promote,No
INV0000048,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Turkey Slices,Food Ingredients,119,42,37,124,33,0,41,-9.76,Overstocked,promote,No
INV0000049,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Oat Milk,Dairy Alternative,100,66,66,100,52,0,64,3.12,Healthy,neutral,No
INV0000050,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-10,Pumpkin Spice Syrup,Syrups & Sauces,72,0,42,30,28,0,38,10.53,Healthy,neutral,No
INV0000051,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Caramel Sauce,Syrups & Sauces,223,0,77,146,60,0,61,26.23,Healthy,neutral,No
INV0000052,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Whipped Cream,Dairy,245,0,169,76,129,0,182,-7.14,Low,neutral,No
INV0000053,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Bacon,Food Ingredients,118,0,55,63,48,0,59,-6.78,Healthy,neutral,No
INV0000054,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Oat Milk,Dairy Alternative,112,0,42,70,53,0,58,-27.59,Healthy,neutral,No
INV0000055,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Eggs,Food Ingredients,155,0,45,110,48,0,61,-26.23,Healthy,neutral,No
INV0000056,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Spinach,Food Ingredients,57,25,24,58,20,0,24,0.0,Healthy,neutral,No
INV0000057,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Strawberry Acai Base,Specialty,199,0,72,127,61,0,84,-14.29,Healthy,neutral,No
INV0000058,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Frappuccino Base,Specialty,123,45,38,130,36,0,44,-13.64,Overstocked,promote,No
INV0000059,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Ice,Other,139,135,96,178,72,0,88,9.09,Healthy,neutral,No
INV0000060,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,2% Milk,Dairy,559,0,220,339,178,0,204,7.84,Healthy,neutral,No
INV0000061,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Vanilla Syrup,Syrups & Sauces,82,0,34,48,28,0,38,-10.53,Healthy,neutral,No
INV0000062,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Matcha Powder,Coffee & Tea,212,0,104,108,110,0,135,-22.96,Low,neutral,No
INV0000063,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Espresso Beans,Coffee & Tea,719,462,286,895,246,0,305,-6.23,Overstocked,promote,No
INV0000064,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Whole Milk,Dairy,674,0,536,138,353,0,422,27.01,Critical Low,save,No
INV0000065,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Croissant Dough,Bakery Ingredients,42,42,33,51,22,0,31,6.45,Healthy,neutral,No
INV0000066,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Paper Cups,Supplies,639,0,402,237,320,0,404,-0.5,Low,neutral,No
INV0000067,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Blueberry Mix,Bakery Ingredients,119,106,72,153,56,0,65,10.77,Healthy,neutral,No
INV0000068,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Napkins,Supplies,298,207,148,357,110,0,129,14.73,Overstocked,neutral,No
INV0000069,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Hazelnut Syrup,Syrups & Sauces,190,70,70,190,56,0,54,29.63,Overstocked,neutral,No
INV0000070,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Cold Brew Concentrate,Coffee & Tea,405,0,215,190,192,0,252,-14.68,Low,neutral,No
INV0000071,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Turkey Slices,Food Ingredients,24,16,13,27,12,0,16,-18.75,Healthy,neutral,No
INV0000072,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Dragonfruit Powder,Specialty,93,0,56,37,48,0,65,-13.85,Low,neutral,No
INV0000073,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Pumpkin Spice Syrup,Syrups & Sauces,52,30,34,48,24,0,30,13.33,Healthy,neutral,No
INV0000074,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Mocha Sauce,Syrups & Sauces,196,0,66,130,53,0,67,-1.49,Healthy,neutral,No
INV0000075,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Chai Concentrate,Coffee & Tea,224,169,112,281,90,0,126,-11.11,Overstocked,promote,No
INV0000076,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Chai Concentrate,Coffee & Tea,464,0,260,204,160,0,173,50.29,Healthy,neutral,No
INV0000077,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Matcha Powder,Coffee & Tea,705,445,260,890,237,0,337,-22.85,Overstocked,promote,No
INV0000078,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Croissant Dough,Bakery Ingredients,154,0,53,101,49,0,53,0.0,Healthy,neutral,No
INV0000079,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Whipped Cream,Dairy,225,0,184,41,117,0,142,29.58,Critical Low,save,No
INV0000080,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Pumpkin Spice Syrup,Syrups & Sauces,350,0,119,231,98,0,116,2.59,Healthy,neutral,No
INV0000081,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Almond Milk,Dairy Alternative,348,145,155,338,116,0,128,21.09,Healthy,neutral,No
INV0000082,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Ice,Other,26,0,14,12,9,0,12,16.67,Healthy,neutral,No
INV0000083,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Napkins,Supplies,791,0,316,475,254,0,300,5.33,Healthy,neutral,No
INV0000084,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Dragonfruit Powder,Specialty,182,0,93,89,73,0,101,-7.92,Healthy,neutral,No
INV0000085,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Vanilla Syrup,Syrups & Sauces,82,45,59,68,36,0,51,15.69,Healthy,neutral,No
INV0000086,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Bacon,Food Ingredients,73,0,42,31,30,0,38,10.53,Healthy,neutral,No
INV0000087,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Turkey Slices,Food Ingredients,65,0,37,28,26,0,31,19.35,Healthy,neutral,No
INV0000088,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Frappuccino Base,Specialty,32,0,18,14,14,0,20,-10.0,Healthy,neutral,No
INV0000089,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Caramel Sauce,Syrups & Sauces,318,0,119,199,88,0,103,15.53,Healthy,neutral,No
INV0000090,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Mocha Sauce,Syrups & Sauces,219,0,66,153,65,0,86,-23.26,Healthy,neutral,No
INV0000091,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Oat Milk,Dairy Alternative,353,0,122,231,96,0,132,-7.58,Healthy,neutral,No
INV0000092,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Strawberry Acai Base,Specialty,149,0,88,61,70,0,84,4.76,Low,neutral,No
INV0000093,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Straws,Supplies,1077,0,490,587,348,0,478,2.51,Healthy,neutral,No
INV0000094,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Spinach,Food Ingredients,36,0,11,25,12,0,13,-15.38,Healthy,neutral,No
INV0000095,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,2% Milk,Dairy,1085,0,493,592,388,0,482,2.28,Healthy,neutral,No
INV0000096,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Hazelnut Syrup,Syrups & Sauces,122,0,51,71,42,0,57,-10.53,Healthy,neutral,No
INV0000097,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Sandwich Bread,Food Ingredients,71,47,58,60,37,0,42,38.1,Healthy,neutral,No
INV0000098,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Paper Cups,Supplies,518,278,275,521,222,0,277,-0.72,Healthy,neutral,No
INV0000099,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Blueberry Mix,Bakery Ingredients,138,0,61,77,48,0,52,17.31,Healthy,neutral,No
INV0000100,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-25,Espresso Beans,Coffee & Tea,424,0,269,155,204,0,255,5.49,Low,neutral,No
INV0000101,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Almond Milk,Dairy Alternative,268,0,195,73,125,0,163,19.63,Low,neutral,No
INV0000102,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Ice,Other,223,0,73,150,64,0,68,7.35,Healthy,neutral,No
INV0000103,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Bacon,Food Ingredients,110,0,52,58,42,0,49,6.12,Healthy,neutral,No
INV0000104,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Chai Concentrate,Coffee & Tea,757,0,332,425,280,0,362,-8.29,Healthy,neutral,No
INV0000105,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Straws,Supplies,1397,901,617,1681,480,0,612,0.82,Overstocked,promote,No
INV0000106,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Cold Brew Concentrate,Coffee & Tea,759,0,322,437,220,0,287,12.2,Healthy,neutral,No
INV0000107,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Whole Milk,Dairy,496,0,242,254,146,0,185,30.81,Healthy,neutral,No
INV0000108,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Espresso Beans,Coffee & Tea,589,349,221,717,186,0,198,11.62,Overstocked,neutral,No
INV0000109,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Pumpkin Spice Syrup,Syrups & Sauces,195,0,102,93,97,0,133,-23.31,Low,neutral,No
INV0000110,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Turkey Slices,Food Ingredients,64,35,37,62,28,0,34,8.82,Healthy,neutral,No
INV0000111,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Caramel Sauce,Syrups & Sauces,311,0,116,195,96,0,109,6.42,Healthy,neutral,No
INV0000112,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Blueberry Mix,Bakery Ingredients,47,31,30,48,24,0,31,-3.23,Healthy,neutral,No
INV0000113,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Sandwich Bread,Food Ingredients,105,0,32,73,34,0,46,-30.43,Healthy,neutral,No
INV0000114,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Strawberry Acai Base,Specialty,33,20,15,38,16,0,20,-25.0,Healthy,neutral,No
INV0000115,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Dragonfruit Powder,Specialty,40,0,17,23,14,0,18,-5.56,Healthy,neutral,No
INV0000116,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Napkins,Supplies,1114,825,507,1432,440,0,643,-21.15,Overstocked,promote,No
INV0000117,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Matcha Powder,Coffee & Tea,725,0,360,365,265,0,353,1.98,Healthy,neutral,No
INV0000118,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Frappuccino Base,Specialty,126,0,63,63,52,0,64,-1.56,Healthy,neutral,No
INV0000119,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Vanilla Syrup,Syrups & Sauces,221,129,95,255,68,0,97,-2.06,Overstocked,promote,No
INV0000120,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Paper Cups,Supplies,658,0,432,226,296,0,368,17.39,Low,save,Yes
INV0000121,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Hazelnut Syrup,Syrups & Sauces,150,0,70,80,56,0,72,-2.78,Healthy,neutral,No
INV0000122,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Spinach,Food Ingredients,128,72,46,154,38,0,44,4.55,Overstocked,save,Yes
INV0000123,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Whipped Cream,Dairy,353,339,230,462,180,0,236,-2.54,Healthy,neutral,No
INV0000124,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Mocha Sauce,Syrups & Sauces,83,63,44,102,33,0,41,7.32,Overstocked,neutral,No
INV0000125,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-06,Eggs,Food Ingredients,67,28,25,65,22,5,29,-13.79,Healthy,neutral,No
INV0000126,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Blueberry Mix,Bakery Ingredients,53,0,18,34,14,1,16,12.5,Healthy,neutral,No
INV0000127,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Whipped Cream,Dairy,537,402,298,641,214,0,288,3.47,Healthy,neutral,No
INV0000128,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Dragonfruit Powder,Specialty,216,0,76,140,61,0,67,13.43,Healthy,neutral,No
INV0000129,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Caramel Sauce,Syrups & Sauces,91,0,36,55,34,0,44,-18.18,Healthy,neutral,No
INV0000130,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Oat Milk,Dairy Alternative,336,0,137,199,117,0,142,-3.52,Healthy,neutral,No
INV0000131,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Vanilla Syrup,Syrups & Sauces,120,0,66,54,61,0,83,-20.48,Low,neutral,No
INV0000132,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Mocha Sauce,Syrups & Sauces,55,0,20,35,21,0,26,-23.08,Healthy,save,Yes
INV0000133,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Strawberry Acai Base,Specialty,104,46,47,103,36,0,48,-2.08,Healthy,neutral,No
INV0000134,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Hazelnut Syrup,Syrups & Sauces,287,0,128,159,96,0,106,20.75,Healthy,neutral,No
INV0000135,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Spinach,Food Ingredients,103,47,44,106,37,0,43,2.33,Healthy,neutral,No
INV0000136,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Croissant Dough,Bakery Ingredients,135,0,47,88,44,0,45,4.44,Healthy,neutral,No
INV0000137,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Bacon,Food Ingredients,84,69,48,105,36,0,51,-5.88,Healthy,neutral,No
INV0000138,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Pumpkin Spice Syrup,Syrups & Sauces,320,0,107,213,92,0,123,-13.01,Healthy,neutral,No
INV0000139,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,2% Milk,Dairy,366,0,251,115,188,0,214,17.29,Low,neutral,No
INV0000140,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Chai Concentrate,Coffee & Tea,562,514,338,738,274,0,344,-1.74,Healthy,neutral,No
INV0000141,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Eggs,Food Ingredients,118,0,44,74,32,0,41,7.32,Healthy,neutral,No
INV0000142,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Napkins,Supplies,306,152,120,338,121,0,179,-32.96,Healthy,neutral,No
INV0000143,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Straws,Supplies,770,0,282,488,216,0,243,16.05,Healthy,neutral,No
INV0000144,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Espresso Beans,Coffee & Tea,400,187,152,435,149,0,170,-10.59,Healthy,neutral,No
INV0000145,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Cold Brew Concentrate,Coffee & Tea,519,0,178,341,148,0,173,2.89,Healthy,neutral,No
INV0000146,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Paper Cups,Supplies,665,0,231,434,196,0,220,5.0,Healthy,neutral,No
INV0000147,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Ice,Other,163,93,66,190,49,0,55,20.0,Overstocked,neutral,No
INV0000148,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Sandwich Bread,Food Ingredients,35,0,13,22,10,0,13,0.0,Healthy,neutral,No
INV0000149,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Turkey Slices,Food Ingredients,113,75,40,148,40,0,47,-14.89,Overstocked,promote,No
INV0000150,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-15,Matcha Powder,Coffee & Tea,270,0,157,113,113,0,144,9.03,Healthy,neutral,No
INV0000151,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-14,Paper Cups,Supplies,1342,0,543,799,393,0,545,-0.37,Healthy,neutral,No
INV0000152,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-14,Frappuccino Base,Specialty,79,40,34,85,32,0,38,-10.53,Healthy,neutral,No
INV0000153,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-14,Almond Milk,Dairy Alternative,298,0,108,190,84,0,102,5.88,Healthy,neutral,No
INV0000154,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-14,Blueberry Mix,Bakery Ingredients,131,0,60,71,46,0,66,-9.09,Healthy,neutral,No
INV0000155,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-14,Espresso Beans,Coffee & Tea,504,0,317,187,260,0,332,-4.52,Low,neutral,No
INV0000156,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-14,Whipped Cream,Dairy,731,564,369,926,300,0,298,23.83,Overstocked,neutral,No
INV0000157,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-14,Spinach,Food Ingredients,108,0,33,75,29,0,36,-8.33,Healthy,neutral,No
INV0000158,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-14,2% Milk,Dairy,621,0,337,284,286,0,386,-12.69,Low,neutral,No
INV0000159,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-14,Ice,Other,101,0,46,55,32,0,38,21.05,Healthy,neutral,No
INV0000160,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-14,Bacon,Food Ingredients,155,58,65,148,46,0,54,20.37,Overstocked,neutral,No
INV0000161,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-14,Hazelnut Syrup,Syrups & Sauces,69,0,33,36,25,0,30,10.0,Healthy,neutral,No
INV0000162,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-14,Dragonfruit Powder,Specialty,168,0,66,102,64,0,73,-9.59,Healthy,neutral,No
INV0000163,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-14,Matcha Powder,Coffee & Tea,832,0,226,606,226,0,305,-25.9,Healthy,neutral,No
