shift_id,store_id,store_name,neighborhood,date,day_of_week,shift_start,shift_end,employee_id,employee_role,skill_level,scheduled_hours,availability_status,callout_flag,expected_orders_per_hour,required_staff,scheduled_staff,staffing_gap,staffing_status
SHF0000018,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-08,Monday,09:00,13:00,EMP00030,Shift Supervisor,Intermediate,4,Available,No,109,5,5,0,Balanced
SHF0000019,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-08,Monday,18:00,22:00,EMP00190,Barista,Intermediate,4,Available,No,27,2,1,-1,Understaffed
SHF0000020,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-08,Monday,14:00,18:00,EMP00430,Barista,Entry,4,Available,No,30,2,2,0,Balanced
SHF0000021,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-08,Monday,11:00,15:00,EMP00238,Shift Supervisor,Intermediate,4,Called Out,Yes,57,2,2,0,Balanced
SHF0000022,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Monday,13:00,17:00,EMP00312,Shift Supervisor,Intermediate,4,Available,No,53,2,2,0,Balanced
SHF0000023,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Monday,10:00,14:00,EMP00386,Barista,Entry,4,Available,No,56,2,2,0,Balanced
SHF0000024,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Monday,17:00,21:00,EMP00143,Barista,Senior,4,Available,No,43,2,1,-1,Understaffed
SHF0000025,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Monday,05:00,09:00,EMP00290,Shift Supervisor,Senior,4,Available,No,37,2,2,0,Balanced
SHF0000026,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Monday,09:00,13:00,EMP00063,Shift Supervisor,Entry,4,Available,No,92,4,4,0,Balanced
SHF0000027,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Monday,14:00,18:00,EMP00170,Barista,Entry,4,Available,No,35,2,1,-1,Understaffed
SHF0000028,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Monday,05:00,09:00,EMP00415,Barista,Intermediate,4,Available,No,36,2,4,2,Overstaffed
SHF0000029,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Monday,13:00,17:00,EMP00050,Barista,Entry,4,Available,No,50,2,2,0,Balanced
SHF0000030,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Monday,10:00,14:00,EMP00435,Barista,Entry,4,Available,No,54,2,2,0,Balanced
SHF0000031,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Monday,07:00,11:00,EMP00215,Barista,Senior,4,Available,No,78,3,3,0,Balanced
SHF0000032,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-15,Monday,10:00,14:00,EMP00073,Barista,Senior,4,Available,No,45,2,2,0,Balanced
SHF0000033,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-22,Monday,06:00,10:00,EMP00227,Barista,Intermediate,4,Available,No,43,2,2,0,Balanced
SHF0000034,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-22,Monday,18:00,22:00,EMP00097,Barista,Entry,4,Available,No,30,2,2,0,Balanced
SHF0000035,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-22,Monday,11:00,15:00,EMP00327,Barista,Intermediate,4,Available,No,36,2,4,2,Overstaffed
SHF0000036,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-22,Monday,13:00,17:00,EMP00319,Barista,Intermediate,4,Available,No,60,3,3,0,Balanced
SHF0000037,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-22,Monday,14:00,18:00,EMP00202,Barista,Entry,4,Available,No,25,2,2,0,Balanced
SHF0000038,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-22,Monday,10:00,14:00,EMP00475,Barista,Senior,4,Available,No,64,3,4,1,Overstaffed
SHF0000039,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-22,Monday,10:00,14:00,EMP00196,Barista,Entry,4,Available,No,59,2,1,-1,Understaffed
SHF0000040,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-22,Monday,17:00,21:00,EMP00254,Shift Supervisor,Senior,4,Available,No,42,2,2,0,Balanced
SHF0000041,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-22,Monday,13:00,17:00,EMP00078,Barista,Entry,4,Available,No,65,3,1,-2,Understaffed
SHF0000042,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-22,Monday,05:00,09:00,EMP00010,Barista,Senior,4,Available,No,25,2,2,0,Balanced
SHF0000043,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-22,Monday,05:00,09:00,EMP00306,Barista,Entry,4,Available,No,43,2,1,-1,Understaffed
SHF0000044,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-29,Monday,07:00,11:00,EMP00175,Barista,Entry,4,Available,No,84,4,4,0,Balanced
SHF0000045,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-29,Monday,18:00,22:00,EMP00417,Barista,Senior,4,Available,No,26,2,3,1,Overstaffed
SHF0000046,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-29,Monday,18:00,22:00,EMP00397,Barista,Intermediate,4,Available,No,43,2,1,-1,Understaffed
SHF0000047,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-29,Monday,11:00,15:00,EMP00443,Shift Supervisor,Entry,4,Available,No,56,2,2,0,Balanced
SHF0000048,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-29,Monday,09:00,13:00,EMP00171,Barista,Entry,4,Available,No,88,4,4,0,Balanced
SHF0000049,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-29,Monday,11:00,15:00,EMP00262,Shift Supervisor,Intermediate,4,Available,No,42,2,1,-1,Understaffed
SHF0000050,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-29,Monday,14:00,18:00,EMP00153,Barista,Entry,4,Available,No,45,2,2,0,Balanced
SHF0000051,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-29,Monday,09:00,13:00,EMP00010,Barista,Senior,4,Available,No,71,3,3,0,Balanced
SHF0000052,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-29,Monday,17:00,21:00,EMP00134,Barista,Intermediate,4,Available,No,20,2,4,2,Overstaffed
SHF0000053,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-29,Monday,10:00,14:00,EMP00447,Barista,Senior,4,Available,No,50,2,4,2,Overstaffed
SHF0000054,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-01-29,Monday,18:00,22:00,EMP00082,Barista,Intermediate,4,Available,No,27,2,2,0,Balanced
SHF0000055,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-05,Monday,06:00,10:00,EMP00244,Barista,Entry,4,Available,No,34,2,2,0,Balanced
SHF0000056,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-05,Monday,13:00,17:00,EMP00473,Shift Supervisor,Senior,4,Available,No,42,2,4,2,Overstaffed
SHF0000057,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-05,Monday,06:00,10:00,EMP00487,Barista,Entry,4,Available,No,30,2,2,0,Balanced
SHF0000058,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-05,Monday,15:00,19:00,EMP00015,Shift Supervisor,Entry,4,Available,No,27,2,2,0,Balanced
SHF0000059,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-05,Monday,13:00,17:00,EMP00400,Barista,Intermediate,4,Available,No,54,2,1,-1,Understaffed
SHF0000060,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-05,Monday,11:00,15:00,EMP00346,Barista,Intermediate,4,Available,No,61,3,3,0,Balanced
SHF0000061,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-05,Monday,10:00,14:00,EMP00115,Barista,Senior,4,Available,No,41,2,1,-1,Understaffed
SHF0000062,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-05,Monday,18:00,22:00,EMP00065,Barista,Entry,4,Available,No,30,2,1,-1,Understaffed
SHF0000063,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-05,Monday,09:00,13:00,EMP00433,Barista,Intermediate,4,Available,No,111,5,5,0,Balanced
SHF0000064,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-05,Monday,13:00,17:00,EMP00123,Barista,Intermediate,4,Available,No,42,2,1,-1,Understaffed
SHF0000065,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-05,Monday,10:00,14:00,EMP00371,Barista,Entry,4,Available,No,47,2,3,1,Overstaffed
SHF0000066,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-05,Monday,18:00,22:00,EMP00196,Barista,Intermediate,4,Available,No,25,2,2,0,Balanced
SHF0000067,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-12,Monday,18:00,22:00,EMP00426,Barista,Intermediate,4,Available,No,40,2,1,-1,Understaffed
SHF0000068,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-12,Monday,14:00,18:00,EMP00089,Barista,Intermediate,4,Available,No,37,2,2,0,Balanced
SHF0000069,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-12,Monday,17:00,21:00,EMP00101,Barista,Intermediate,4,Available,No,29,2,4,2,Overstaffed
SHF0000070,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-12,Monday,15:00,19:00,EMP00430,Barista,Entry,4,Available,No,34,2,2,0,Balanced
SHF0000071,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-12,Monday,15:00,19:00,EMP00460,Barista,Entry,4,Available,No,23,2,4,2,Overstaffed
SHF0000072,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-12,Monday,10:00,14:00,EMP00019,Barista,Intermediate,4,Available,No,61,3,3,0,Balanced
SHF0000073,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-12,Monday,15:00,19:00,EMP00110,Barista,Intermediate,4,Available,No,20,2,2,0,Balanced
SHF0000074,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-12,Monday,13:00,17:00,EMP00301,Barista,Intermediate,4,Available,No,38,2,2,0,Balanced
SHF0000075,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-19,Monday,13:00,17:00,EMP00101,Barista,Intermediate,4,Available,No,56,2,2,0,Balanced
SHF0000076,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-19,Monday,05:00,09:00,EMP00099,Shift Supervisor,Intermediate,4,Available,No,27,2,2,0,Balanced
SHF0000077,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-19,Monday,11:00,15:00,EMP00405,Barista,Entry,4,Available,No,55,2,2,0,Balanced
SHF0000078,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-19,Monday,06:00,10:00,EMP00241,Shift Supervisor,Entry,4,Available,No,41,2,2,0,Balanced
SHF0000079,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-19,Monday,09:00,13:00,EMP00340,Barista,Intermediate,4,Available,No,107,5,5,0,Balanced
SHF0000080,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-19,Monday,14:00,18:00,EMP00072,Barista,Entry,4,Available,No,43,2,2,0,Balanced
SHF0000081,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-19,Monday,05:00,09:00,EMP00033,Barista,Entry,4,Available,No,34,2,1,-1,Understaffed
SHF0000082,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-19,Monday,17:00,21:00,EMP00301,Barista,Entry,4,Available,No,20,2,1,-1,Understaffed
SHF0000083,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-19,Monday,14:00,18:00,EMP00115,Barista,Intermediate,4,Available,No,26,2,4,2,Overstaffed
SHF0000084,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-19,Monday,14:00,18:00,EMP00296,Lead Barista,Intermediate,4,Available,No,25,2,4,2,Overstaffed
SHF0000085,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-19,Monday,09:00,13:00,EMP00292,Barista,Entry,4,Available,No,92,4,4,0,Balanced
SHF0000086,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-26,Monday,11:00,15:00,EMP00170,Barista,Entry,4,Available,No,49,2,3,1,Overstaffed
SHF0000087,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-26,Monday,05:00,09:00,EMP00046,Barista,Intermediate,4,Available,No,25,2,2,0,Balanced
SHF0000088,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-26,Monday,07:00,11:00,EMP00177,Barista,Intermediate,4,Available,No,91,4,4,0,Balanced
SHF0000089,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-26,Monday,06:00,10:00,EMP00155,Shift Supervisor,Senior,4,Available,No,42,2,1,-1,Understaffed
SHF0000090,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-26,Monday,05:00,09:00,EMP00028,Barista,Intermediate,4,Available,No,39,2,1,-1,Understaffed
SHF0000091,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-26,Monday,10:00,14:00,EMP00462,Barista,Intermediate,4,Called Out,Yes,39,2,1,-1,Understaffed
SHF0000092,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-26,Monday,07:00,11:00,EMP00124,Barista,Intermediate,4,Available,No,106,5,5,0,Balanced
SHF0000093,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-02-26,Monday,07:00,11:00,EMP00062,Barista,Entry,4,Available,No,97,4,4,0,Balanced
SHF0000094,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-04,Monday,06:00,10:00,EMP00102,Barista,Senior,4,Available,No,23,2,2,0,Balanced
SHF0000095,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-04,Monday,15:00,19:00,EMP00010,Barista,Senior,4,Available,No,26,2,2,0,Balanced
SHF0000096,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-04,Monday,17:00,21:00,EMP00214,Barista,Intermediate,4,Available,No,31,2,2,0,Balanced
SHF0000097,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-04,Monday,15:00,19:00,EMP00215,Barista,Senior,4,Available,No,24,2,2,0,Balanced
SHF0000098,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-04,Monday,09:00,13:00,EMP00470,Barista,Entry,4,Available,No,72,3,3,0,Balanced
SHF0000099,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-04,Monday,11:00,15:00,EMP00106,Barista,Entry,4,Available,No,60,3,3,0,Balanced
SHF0000100,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-04,Monday,17:00,21:00,EMP00242,Barista,Intermediate,4,Available,No,37,2,1,-1,Understaffed
SHF0000101,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-04,Monday,18:00,22:00,EMP00126,Barista,Entry,4,Available,No,27,2,2,0,Balanced
SHF0000102,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-04,Monday,10:00,14:00,EMP00319,Barista,Entry,4,Available,No,51,2,2,0,Balanced
SHF0000103,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-04,Monday,13:00,17:00,EMP00252,Barista,Intermediate,4,Available,No,62,3,3,0,Balanced
SHF0000104,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-11,Monday,09:00,13:00,EMP00499,Barista,Entry,4,Available,No,81,4,4,0,Balanced
SHF0000105,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-11,Monday,13:00,17:00,EMP00499,Barista,Entry,4,Available,No,47,2,2,0,Balanced
SHF0000106,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-11,Monday,11:00,15:00,EMP00316,Barista,Intermediate,4,Available,No,53,2,4,2,Overstaffed
SHF0000107,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-11,Monday,17:00,21:00,EMP00391,Barista,Entry,4,Available,No,25,2,3,1,Overstaffed
SHF0000108,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-11,Monday,15:00,19:00,EMP00259,Barista,Entry,4,Available,No,43,2,2,0,Balanced
SHF0000109,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-11,Monday,10:00,14:00,EMP00108,Barista,Intermediate,4,Called Out,Yes,57,2,3,1,Overstaffed
SHF0000110,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-11,Monday,13:00,17:00,EMP00369,Barista,Intermediate,4,Available,No,57,2,2,0,Balanced
SHF0000111,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-11,Monday,10:00,14:00,EMP00262,Barista,Intermediate,4,Available,No,37,2,2,0,Balanced
SHF0000112,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-11,Monday,13:00,17:00,EMP00474,Barista,Intermediate,4,Available,No,39,2,1,-1,Understaffed
SHF0000113,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-11,Monday,07:00,11:00,EMP00339,Barista,Entry,4,Available,No,87,4,4,0,Balanced
SHF0000114,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-11,Monday,09:00,13:00,EMP00174,Lead Barista,Entry,4,Available,No,79,3,3,0,Balanced
SHF0000115,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-18,Monday,13:00,17:00,EMP00210,Barista,Senior,4,Available,No,51,2,2,0,Balanced
SHF0000116,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-18,Monday,05:00,09:00,EMP00234,Barista,Entry,4,Available,No,42,2,1,-1,Understaffed
SHF0000117,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-18,Monday,17:00,21:00,EMP00020,Shift Supervisor,Entry,4,Available,No,39,2,2,0,Balanced
SHF0000118,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-18,Monday,06:00,10:00,EMP00294,Barista,Intermediate,4,Available,No,38,2,2,0,Balanced
SHF0000119,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-18,Monday,13:00,17:00,EMP00009,Barista,Entry,4,Available,No,50,2,2,0,Balanced
SHF0000120,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-18,Monday,18:00,22:00,EMP00006,Barista,Intermediate,4,Available,No,30,2,2,0,Balanced
SHF0000121,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-18,Monday,15:00,19:00,EMP00054,Barista,Intermediate,4,Available,No,26,2,3,1,Overstaffed
SHF0000122,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-18,Monday,06:00,10:00,EMP00210,Shift Supervisor,Senior,4,Available,No,38,2,3,1,Overstaffed
SHF0000123,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-25,Monday,10:00,14:00,EMP00126,Barista,Intermediate,4,Available,No,45,2,3,1,Overstaffed
SHF0000124,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-25,Monday,09:00,13:00,EMP00157,Barista,Senior,4,Available,No,72,3,3,0,Balanced
SHF0000125,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-25,Monday,06:00,10:00,EMP00373,Barista,Entry,4,Available,No,34,2,4,2,Overstaffed
SHF0000126,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-25,Monday,17:00,21:00,EMP00477,Barista,Intermediate,4,Available,No,38,2,3,1,Overstaffed
SHF0000127,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-25,Monday,10:00,14:00,EMP00250,Barista,Entry,4,Available,No,43,2,2,0,Balanced
SHF0000128,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-25,Monday,06:00,10:00,EMP00207,Barista,Intermediate,4,Available,No,35,2,2,0,Balanced
SHF0000129,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-25,Monday,05:00,09:00,EMP00337,Barista,Entry,4,Available,No,33,2,3,1,Overstaffed
SHF0000130,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-25,Monday,06:00,10:00,EMP00008,Barista,Senior,4,Available,No,41,2,1,-1,Understaffed
SHF0000131,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-25,Monday,17:00,21:00,EMP00395,Barista,Intermediate,4,Available,No,32,2,1,-1,Understaffed
SHF0000132,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-25,Monday,15:00,19:00,EMP00179,Barista,Intermediate,4,Available,No,41,2,2,0,Balanced
SHF0000133,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-25,Monday,17:00,21:00,EMP00218,Barista,Intermediate,4,Available,No,31,2,2,0,Balanced
SHF0000134,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-03-25,Monday,11:00,15:00,EMP00019,Barista,Intermediate,4,Available,No,46,2,1,-1,Understaffed
SHF0000135,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-04-01,Monday,07:00,11:00,EMP00400,Lead Barista,Entry,4,Available,No,72,3,2,-1,Understaffed
SHF0000136,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-04-01,Monday,14:00,18:00,EMP00267,Lead Barista,Senior,4,Available,No,25,2,4,2,Overstaffed
SHF0000137,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-04-01,Monday,09:00,13:00,EMP00338,Barista,Entry,4,Available,No,110,5,5,0,Balanced
SHF0000138,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-04-01,Monday,13:00,17:00,EMP00083,Barista,Entry,4,Available,No,48,2,2,0,Balanced
SHF0000139,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-04-01,Monday,05:00,09:00,EMP00427,Lead Barista,Intermediate,4,Available,No,36,2,1,-1,Understaffed
SHF0000140,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-04-01,Monday,11:00,15:00,EMP00104,Barista,Entry,4,Available,No,51,2,2,0,Balanced
SHF0000141,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-04-01,Monday,07:00,11:00,EMP00204,Shift Supervisor,Intermediate,4,Available,No,83,4,5,1,Overstaffed
SHF0000142,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-04-01,Monday,13:00,17:00,EMP00164,Barista,Entry,4,Available,No,53,2,2,0,Balanced
SHF0000143,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-04-01,Monday,09:00,13:00,EMP00467,Barista,Senior,4,Available,No,91,4,4,0,Balanced
SHF0000144,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-04-08,Monday,06:00,10:00,EMP00463,Barista,Senior,4,Available,No,26,2,3,1,Overstaffed
SHF0000145,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-04-08,Monday,06:00,10:00,EMP00458,Barista,Senior,4,Available,No,34,2,1,-1,Understaffed
SHF0000146,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-04-08,Monday,11:00,15:00,EMP00054,Barista,Entry,4,Available,No,38,2,2,0,Balanced
SHF0000147,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-04-08,Monday,14:00,18:00,EMP00378,Lead Barista,Entry,4,Available,No,39,2,3,1,Overstaffed
SHF0000148,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-04-08,Monday,05:00,09:00,EMP00280,Shift Supervisor,Senior,4,Available,No,22,2,2,0,Balanced
SHF0000149,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-04-08,Monday,14:00,18:00,EMP00270,Barista,Entry,4,Available,No,34,2,4,2,Overstaffed
SHF0000150,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-04-08,Monday,06:00,10:00,EMP00210,Shift Supervisor,Intermediate,4,Available,No,44,2,3,1,Overstaffed
SHF0000151,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-04-08,Monday,18:00,22:00,EMP00048,Barista,Entry,4,Available,No,25,2,2,0,Balanced
SHF0000152,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-04-08,Monday,10:00,14:00,EMP00500,Barista,Entry,4,Available,No,36,2,2,0,Balanced
SHF0000153,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-04-08,Monday,14:00,18:00,EMP00394,Barista,Entry,4,Available,No,20,2,2,0,Balanced
SHF0000154,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-04-08,Monday,17:00,21:00,EMP00172,Barista,Intermediate,4,Available,No,27,2,2,0,Balanced
SHF0000155,SD001,Starbucks - Gaslamp Quarter,Downtown,2024-04-08,Monday,17:00,21:00,EMP00156,Barista,Intermediate,4,Available,No,23,2,3,1,Overstaffed
