Category,Subcategory,Item,Size,Size_oz,Calories,Fat_g,Saturated_Fat_g,Trans_Fat_g,Carbs_g,Fiber_g,Sugar_g,Protein_g,Sodium_mg,Caffeine_mg,Seasonal,Key_Ingredients,Vegan,Gluten_Free,Notes
Hot Coffee,Espresso,Blonde Vanilla Latte,Grande,16,250,9,4,0,39,0,37,13,230,170,No,"Blonde espresso, vanilla syrup, steamed 2% milk",No,Yes,""
Hot Coffee,Espresso,Blonde Vanilla Latte,Venti,20,320,11,6,0,50,0,48,17,300,255,No,"Blonde espresso, vanilla syrup, steamed 2% milk",No,Yes,""
Hot Coffee,Espresso,Caffe Mocha,Short,8,200,7,4,0,32,2,27,9,110,75,No,"Espresso, mocha sauce, steamed 2% milk, whipped cream",No,Yes,""
Hot Coffee,Espresso,Caffe Mocha,Tall,12,290,12,6,0,43,2,37,13,155,150,No,"Espresso, mocha sauce, steamed 2% milk, whipped cream",No,Yes,""
Hot Coffee,Espresso,Caffe Mocha,Grande,16,370,15,8,0,55,3,48,16,200,175,No,"Espresso, mocha sauce, steamed 2% milk, whipped cream",No,Yes,""
Hot Coffee,Espresso,Caffe Mocha,Venti,20,450,18,10,0,68,3,57,20,260,265,No,"Espresso, mocha sauce, steamed 2% milk, whipped cream",No,Yes,""
Hot Coffee,Espresso,Cappuccino,Short,8,70,3,2,0,8,0,7,5,65,75,No,"Espresso, steamed 2% milk, milk foam",No,Yes,""
Hot Coffee,Espresso,Cappuccino,Tall,12,100,4,2,0,12,0,11,7,100,75,No,"Espresso, steamed 2% milk, milk foam",No,Yes,""
Hot Coffee,Espresso,Cappuccino,Grande,16,140,5,3,0,16,0,14,10,135,150,No,"Espresso, steamed 2% milk, milk foam",No,Yes,""
Hot Coffee,Espresso,Cappuccino,Venti,20,200,7,4,0,22,0,20,14,195,225,No,"Espresso, steamed 2% milk, milk foam",No,Yes,""
Hot Coffee,Espresso,Caramel Macchiato,Short,8,120,4,2,0,19,0,18,5,80,75,No,"Espresso, vanilla syrup, steamed 2% milk, caramel sauce",No,Yes,""
Hot Coffee,Espresso,Caramel Macchiato,Tall,12,190,6,3,0,30,0,28,8,125,75,No,"Espresso, vanilla syrup, steamed 2% milk, caramel sauce",No,Yes,""
Hot Coffee,Espresso,Caramel Macchiato,Grande,16,250,7,4,0,39,0,37,11,160,150,No,"Espresso, vanilla syrup, steamed 2% milk, caramel sauce",No,Yes,""
Hot Coffee,Espresso,Caramel Macchiato,Venti,20,310,9,5,0,48,0,46,15,210,225,No,"Espresso, vanilla syrup, steamed 2% milk, caramel sauce",No,Yes,""
Hot Coffee,Espresso,Cinnamon Dolce Latte,Short,8,190,6,3,0,31,0,28,8,120,75,No,"Espresso, cinnamon dolce syrup, steamed 2% milk, whipped cream, cinnamon dolce topping",No,Yes,""
Hot Coffee,Espresso,Cinnamon Dolce Latte,Tall,12,270,9,5,0,43,0,39,11,170,75,No,"Espresso, cinnamon dolce syrup, steamed 2% milk, whipped cream, cinnamon dolce topping",No,Yes,""
Hot Coffee,Espresso,Cinnamon Dolce Latte,Grande,16,340,11,6,0,55,0,50,14,220,150,No,"Espresso, cinnamon dolce syrup, steamed 2% milk, whipped cream, cinnamon dolce topping",No,Yes,""
Hot Coffee,Espresso,Cinnamon Dolce Latte,Venti,20,420,14,8,0,68,0,62,18,285,225,No,"Espresso, cinnamon dolce syrup, steamed 2% milk, whipped cream, cinnamon dolce topping",No,Yes,""
Hot Coffee,Espresso,Flat White,Short,8,110,6,3,0,11,0,10,7,120,130,No,"Ristretto espresso, whole milk",No,Yes,""
Hot Coffee,Espresso,Flat White,Tall,12,170,9,4,0,16,0,15,10,175,195,No,"Ristretto espresso, whole milk",No,Yes,""
Hot Coffee,Espresso,Flat White,Grande,16,220,11,5,0,21,0,20,13,230,260,No,"Ristretto espresso, whole milk",No,Yes,""
Hot Coffee,Espresso,Flat White,Venti,20,290,14,7,0,27,0,25,17,300,390,No,"Ristretto espresso, whole milk",No,Yes,""
Hot Coffee,Espresso,Honey Almondmilk Flat White,Short,8,80,3,0,0,13,1,9,2,105,130,No,"Ristretto espresso, almond milk, honey blend",Yes,Yes,""
Hot Coffee,Espresso,Honey Almondmilk Flat White,Tall,12,120,5,0,0,19,1,14,3,160,195,No,"Ristretto espresso, almond milk, honey blend",Yes,Yes,""
Hot Coffee,Espresso,Honey Almondmilk Flat White,Grande,16,170,7,0,0,25,1,19,5,215,260,No,"Ristretto espresso, almond milk, honey blend",Yes,Yes,""
Hot Coffee,Espresso,Honey Almondmilk Flat White,Venti,20,210,9,1,0,31,2,23,6,275,390,No,"Ristretto espresso, almond milk, honey blend",Yes,Yes,""
Hot Coffee,Espresso,White Chocolate Mocha,Short,8,150,5,3,0,23,0,22,7,130,75,No,"Espresso, white chocolate mocha sauce, steamed 2% milk, whipped cream",No,Yes,""
Hot Coffee,Espresso,White Chocolate Mocha,Tall,12,240,9,5,0,36,0,35,11,200,75,No,"Espresso, white chocolate mocha sauce, steamed 2% milk, whipped cream",No,Yes,""
Hot Coffee,Espresso,White Chocolate Mocha,Grande,16,320,12,7,0,48,0,46,14,260,150,No,"Espresso, white chocolate mocha sauce, steamed 2% milk, whipped cream",No,Yes,""
Hot Coffee,Espresso,White Chocolate Mocha,Venti,20,400,15,9,0,60,0,58,18,330,225,No,"Espresso, white chocolate mocha sauce, steamed 2% milk, whipped cream",No,Yes,""
Hot Coffee,Espresso,Espresso,Solo (1 oz),1,5,0,0,0,0,0,0,0,5,75,No,"Espresso beans, water",Yes,Yes,""
Hot Coffee,Espresso,Espresso,Doppio (2 oz),2,10,0,0,0,0,0,0,0,10,150,No,"Espresso beans, water",Yes,Yes,""
Hot Coffee,Espresso,Espresso,Triple (3 oz),3,15,0,0,0,0,0,0,0,15,225,No,"Espresso beans, water",Yes,Yes,""
Hot Coffee,Espresso,Espresso,Quad (4 oz),4,20,0,0,0,0,0,0,1,20,300,No,"Espresso beans, water",Yes,Yes,""
Hot Coffee,Espresso,Espresso Con Panna,Solo,1,30,2,2,0,2,0,1,0,10,75,No,"Espresso, whipped cream",No,Yes,"Espresso topped with whipped cream"
Hot Coffee,Espresso,Espresso Con Panna,Doppio,2,35,3,2,0,3,0,2,1,15,150,No,"Espresso, whipped cream",No,Yes,""
Hot Coffee,Espresso,Espresso Con Panna,Triple,3,40,4,3,0,3,0,2,1,15,225,No,"Espresso, whipped cream",No,Yes,""
Hot Coffee,Espresso,Espresso Con Panna,Quad,4,45,5,3,0,4,0,3,1,20,300,No,"Espresso, whipped cream",No,Yes,""
Hot Coffee,Espresso,Espresso Macchiato,Solo,1,10,0,0,0,2,0,1,0,5,75,No,"Espresso, dash of 2% milk foam",No,Yes,""
Hot Coffee,Espresso,Espresso Macchiato,Doppio,2,15,0,0,0,3,0,1,1,10,150,No,"Espresso, dash of 2% milk foam",No,Yes,""
Hot Coffee,Espresso,Espresso Macchiato,Triple,3,20,1,0,0,4,0,2,1,15,225,No,"Espresso, dash of 2% milk foam",No,Yes,""
Hot Coffee,Espresso,Espresso Macchiato,Quad,4,25,1,0,0,5,0,2,1,20,300,No,"Espresso, dash of 2% milk foam",No,Yes,""
Hot Coffee,Reserve,Starbucks Reserve Latte,Short,8,110,5,3,0,12,0,11,7,110,130,No,"Reserve espresso, steamed 2% milk",No,Yes,"Limited availability Reserve bars"
Hot Coffee,Reserve,Starbucks Reserve Latte,Tall,12,180,8,4,0,18,0,17,11,175,195,No,"Reserve espresso, steamed 2% milk",No,Yes,""
Hot Coffee,Reserve,Starbucks Reserve Latte,Grande,16,230,10,5,0,23,0,21,14,225,260,No,"Reserve espresso, steamed 2% milk",No,Yes,""
Hot Coffee,Reserve,Starbucks Reserve Latte,Venti,20,290,13,6,0,29,0,27,18,285,390,No,"Reserve espresso, steamed 2% milk",No,Yes,""
Hot Coffee,Reserve,Starbucks Reserve Hazelnut Bianco Latte,Short,8,190,7,4,0,28,0,27,7,90,130,No,"Reserve espresso, hazelnut praline sauce, steamed 2% milk",No,Yes,"Reserve bars only"
Hot Coffee,Reserve,Starbucks Reserve Hazelnut Bianco Latte,Tall,12,310,11,6,0,44,0,43,11,145,195,No,"Reserve espresso, hazelnut praline sauce, steamed 2% milk",No,Yes,""
Hot Coffee,Reserve,Starbucks Reserve Hazelnut Bianco Latte,Grande,16,380,14,8,0,55,0,54,14,185,260,No,"Reserve espresso, hazelnut praline sauce, steamed 2% milk",No,Yes,""
Hot Coffee,Reserve,Starbucks Reserve Hazelnut Bianco Latte,Venti,20,520,19,10,0,76,0,74,19,250,390,No,"Reserve espresso, hazelnut praline sauce, steamed 2% milk",No,Yes,""
Hot Coffee,Reserve,Oleato Caffe Latte with Oatmilk,Short,8,210,11,2,0,22,1,14,4,115,75,No,"Espresso, oat milk, Partanna extra virgin olive oil",Yes,Yes,"Olive oil infused latte"
Hot Coffee,Reserve,Oleato Caffe Latte with Oatmilk,Tall,12,270,14,2,0,28,1,18,5,155,75,No,"Espresso, oat milk, Partanna extra virgin olive oil",Yes,Yes,""
Hot Coffee,Reserve,Oleato Caffe Latte with Oatmilk,Grande,16,330,17,3,0,34,2,22,7,195,150,No,"Espresso, oat milk, Partanna extra virgin olive oil",Yes,Yes,""
Hot Coffee,Reserve,Oleato Caffe Latte with Oatmilk,Venti,20,410,21,4,0,43,2,28,8,245,225,No,"Espresso, oat milk, Partanna extra virgin olive oil",Yes,Yes,""
Hot Tea,Black Tea,Earl Grey Tea,Short,8,0,0,0,0,0,0,0,0,5,40,No,"Earl Grey tea blend (black tea, bergamot oil), water",Yes,Yes,"Bergamot citrus aroma"
Hot Tea,Black Tea,Earl Grey Tea,Tall,12,0,0,0,0,0,0,0,0,10,55,No,"Earl Grey tea blend, water",Yes,Yes,""
Hot Tea,Black Tea,Earl Grey Tea,Grande,16,0,0,0,0,0,0,0,0,15,80,No,"Earl Grey tea blend, water",Yes,Yes,""
Hot Tea,Black Tea,Earl Grey Tea,Venti,20,0,0,0,0,0,0,0,0,20,110,No,"Earl Grey tea blend, water",Yes,Yes,""
Hot Tea,Black Tea,Royal English Breakfast Tea,Tall,12,0,0,0,0,0,0,0,0,10,40,No,"English breakfast tea blend, water",Yes,Yes,""
Hot Tea,Black Tea,Royal English Breakfast Tea,Grande,16,0,0,0,0,0,0,0,0,15,60,No,"English breakfast tea blend, water",Yes,Yes,""
Hot Tea,Black Tea,Chai Tea (plain),Tall,12,0,0,0,0,0,0,0,0,10,40,No,"Chai tea blend (black tea, spices), water",Yes,Yes,"Unsweetened; no milk"
Hot Tea,Black Tea,Chai Tea (plain),Grande,16,0,0,0,0,0,0,0,0,15,55,No,"Chai tea blend, water",Yes,Yes,""
Hot Tea,Green Tea,Emperor's Clouds & Mist,Tall,12,0,0,0,0,0,0,0,0,10,25,No,"Chinese green tea, water",Yes,Yes,"Chinese green tea"
Hot Tea,Green Tea,Emperor's Clouds & Mist,Grande,16,0,0,0,0,0,0,0,0,15,35,No,"Chinese green tea, water",Yes,Yes,""
Hot Tea,Herbal Tea,Mint Majesty,Tall,12,0,0,0,0,0,0,0,0,5,0,No,"Spearmint, peppermint, lemon verbena, water",Yes,Yes,"Caffeine-free herbal"
Hot Tea,Herbal Tea,Mint Majesty,Grande,16,0,0,0,0,0,0,0,0,5,0,No,"Spearmint, peppermint, lemon verbena, water",Yes,Yes,""
Hot Tea,Herbal Tea,Peach Tranquility,Tall,12,0,0,0,0,0,0,0,0,0,0,No,"Peach, citrus, chamomile, rose hips, water",Yes,Yes,"Caffeine-free herbal"
Hot Tea,Herbal Tea,Peach Tranquility,Grande,16,0,0,0,0,0,0,0,0,0,0,No,"Peach, citrus, chamomile, rose hips, water",Yes,Yes,""
Hot Tea,Chai Latte,Chai Tea Latte,Short,8,120,3,2,0,22,0,21,5,80,40,No,"Chai tea concentrate (black tea, spices, honey, ginger), steamed 2% milk",No,Yes,""
Hot Tea,Chai Latte,Chai Tea Latte,Tall,12,190,5,3,0,35,0,33,8,125,40,No,"Chai tea concentrate, steamed 2% milk",No,Yes,""
Hot Tea,Chai Latte,Chai Tea Latte,Grande,16,240,6,4,0,44,0,42,10,160,80,No,"Chai tea concentrate, steamed 2% milk",No,Yes,""
Hot Tea,Chai Latte,Chai Tea Latte,Venti,20,310,8,5,0,57,0,54,13,210,120,No,"Chai tea concentrate, steamed 2% milk",No,Yes,""
Hot Tea,Matcha Latte,Matcha Tea Latte,Short,8,110,3,2,0,17,0,15,6,105,55,No,"Matcha tea blend (green tea powder, sugar), steamed 2% milk",No,Yes,""
Hot Tea,Matcha Latte,Matcha Tea Latte,Tall,12,190,5,3,0,28,1,25,9,165,55,No,"Matcha tea blend, steamed 2% milk",No,Yes,""
Hot Tea,Matcha Latte,Matcha Tea Latte,Grande,16,240,7,4,0,36,1,33,12,210,80,No,"Matcha tea blend, steamed 2% milk",No,Yes,""
Hot Tea,Matcha Latte,Matcha Tea Latte,Venti,20,320,9,5,0,47,1,44,16,280,110,No,"Matcha tea blend, steamed 2% milk",No,Yes,""
Hot Tea,Black Tea Latte,Royal English Breakfast Tea Latte,Short,8,80,3,2,0,14,0,13,5,80,40,No,"English breakfast tea, steamed 2% milk, vanilla syrup",No,Yes,""
Hot Tea,Black Tea Latte,Royal English Breakfast Tea Latte,Tall,12,110,4,2,0,20,0,19,6,115,40,No,"English breakfast tea, steamed 2% milk, vanilla syrup",No,Yes,""
Hot Tea,Black Tea Latte,Royal English Breakfast Tea Latte,Grande,16,150,5,3,0,26,0,24,9,155,60,No,"English breakfast tea, steamed 2% milk, vanilla syrup",No,Yes,""
Hot Tea,Black Tea Latte,Royal English Breakfast Tea Latte,Venti,20,190,7,4,0,33,0,31,12,200,80,No,"English breakfast tea, steamed 2% milk, vanilla syrup",No,Yes,""
Hot Tea,Black Tea Latte,Teavana London Fog Tea Latte,Short,8,90,3,2,0,16,0,14,4,70,40,No,"Earl Grey tea, steamed 2% milk, vanilla syrup, lavender",No,Yes,""
Hot Tea,Black Tea Latte,Teavana London Fog Tea Latte,Tall,12,140,5,3,0,25,0,23,7,110,40,No,"Earl Grey tea, steamed 2% milk, vanilla syrup, lavender",No,Yes,""
Hot Tea,Black Tea Latte,Teavana London Fog Tea Latte,Grande,16,180,6,4,0,31,0,29,9,140,60,No,"Earl Grey tea, steamed 2% milk, vanilla syrup, lavender",No,Yes,""
Hot Tea,Black Tea Latte,Teavana London Fog Tea Latte,Venti,20,230,8,5,0,40,0,38,12,185,80,No,"Earl Grey tea, steamed 2% milk, vanilla syrup, lavender",No,Yes,""
Hot Tea,Specialty,Honey Citrus Mint Tea,Short,8,60,0,0,0,15,0,14,0,5,16,No,"Jade Citrus Mint tea, Peach Tranquility tea, lemonade, honey, hot water",Yes,Yes,"Medicine Ball tea"
Hot Tea,Specialty,Honey Citrus Mint Tea,Tall,12,80,0,0,0,19,0,18,0,10,16,No,"Jade Citrus Mint tea, Peach Tranquility tea, lemonade, honey, hot water",Yes,Yes,""
Hot Tea,Specialty,Honey Citrus Mint Tea,Grande,16,130,0,0,0,31,0,30,0,15,22,No,"Jade Citrus Mint tea, Peach Tranquility tea, lemonade, honey, hot water",Yes,Yes,""
Hot Tea,Specialty,Honey Citrus Mint Tea,Venti,20,150,0,0,0,37,0,35,0,20,32,No,"Jade Citrus Mint tea, Peach Tranquility tea, lemonade, honey, hot water",Yes,Yes,""
Hot Drinks,Hot Chocolate,Hot Chocolate,Short,8,190,7,5,0,32,1,28,8,130,15,No,"Mocha sauce, steamed 2% milk, vanilla syrup, whipped cream",No,Yes,""
Hot Drinks,Hot Chocolate,Hot Chocolate,Tall,12,280,10,7,0,47,2,41,12,190,20,No,"Mocha sauce, steamed 2% milk, vanilla syrup, whipped cream",No,Yes,""
Hot Drinks,Hot Chocolate,Hot Chocolate,Grande,16,370,14,9,0,62,2,55,16,260,25,No,"Mocha sauce, steamed 2% milk, vanilla syrup, whipped cream",No,Yes,""
Hot Drinks,Hot Chocolate,Hot Chocolate,Venti,20,450,17,11,0,76,3,67,19,320,30,No,"Mocha sauce, steamed 2% milk, vanilla syrup, whipped cream",No,Yes,""
Hot Drinks,Hot Chocolate,White Hot Chocolate,Short,8,240,9,6,0,37,0,37,9,175,0,No,"White chocolate mocha sauce, steamed 2% milk, whipped cream",No,Yes,"Highest cal hot drink"
Hot Drinks,Hot Chocolate,White Hot Chocolate,Tall,12,350,14,9,0,55,0,55,13,265,0,No,"White chocolate mocha sauce, steamed 2% milk, whipped cream",No,Yes,""
Hot Drinks,Hot Chocolate,White Hot Chocolate,Grande,16,440,17,11,0,70,0,70,17,335,0,No,"White chocolate mocha sauce, steamed 2% milk, whipped cream",No,Yes,""
Hot Drinks,Hot Chocolate,White Hot Chocolate,Venti,20,540,21,14,0,87,0,87,20,415,0,No,"White chocolate mocha sauce, steamed 2% milk, whipped cream",No,Yes,""
Hot Drinks,Steamer,Vanilla Creme Steamer,Short,8,190,7,4,0,30,0,29,7,110,0,No,"Steamed 2% milk, vanilla syrup, whipped cream",No,Yes,"Caffeine-free; kid-friendly"
Hot Drinks,Steamer,Vanilla Creme Steamer,Tall,12,280,10,6,0,44,0,43,10,165,0,No,"Steamed 2% milk, vanilla syrup, whipped cream",No,Yes,""
Hot Drinks,Steamer,Vanilla Creme Steamer,Grande,16,350,13,8,0,56,0,55,13,210,0,No,"Steamed 2% milk, vanilla syrup, whipped cream",No,Yes,""
Hot Drinks,Steamer,Vanilla Creme Steamer,Venti,20,430,16,10,0,69,0,68,16,260,0,No,"Steamed 2% milk, vanilla syrup, whipped cream",No,Yes,""
Hot Drinks,Steamer,Steamed Milk,Short,8,100,4,2,0,10,0,9,7,115,0,No,"Steamed 2% milk",No,Yes,"Pure steamed milk; no flavoring"
Hot Drinks,Steamer,Steamed Milk,Tall,12,160,6,4,0,15,0,14,11,175,0,No,"Steamed 2% milk",No,Yes,""
Hot Drinks,Steamer,Steamed Milk,Grande,16,200,7,5,0,19,0,17,13,225,0,No,"Steamed 2% milk",No,Yes,""
Hot Drinks,Steamer,Steamed Milk,Venti,20,260,9,6,0,25,0,22,17,290,0,No,"Steamed 2% milk",No,Yes,""
Hot Drinks,Steamer,Steamed Apple Juice,Short,8,120,0,0,0,30,0,27,0,25,0,No,"Apple juice, cinnamon dolce syrup",Yes,Yes,"Caffeine-free; kid-friendly"
Hot Drinks,Steamer,Steamed Apple Juice,Tall,12,170,0,0,0,43,0,39,0,35,0,No,"Apple juice, cinnamon dolce syrup",Yes,Yes,""
Hot Drinks,Steamer,Steamed Apple Juice,Grande,16,220,0,0,0,56,0,51,0,45,0,No,"Apple juice, cinnamon dolce syrup",Yes,Yes,""
Hot Drinks,Steamer,Steamed Apple Juice,Venti,20,280,0,0,0,71,0,65,0,55,0,No,"Apple juice, cinnamon dolce syrup",Yes,Yes,""
Hot Drinks,Specialty,Caramel Apple Spice,Short,8,220,5,3,0,42,0,40,5,90,0,No,"Steamed apple juice, cinnamon dolce syrup, whipped cream, caramel drizzle",Yes,Yes,"Caffeine-free"
Hot Drinks,Specialty,Caramel Apple Spice,Tall,12,310,7,4,0,60,0,57,7,130,0,No,"Steamed apple juice, cinnamon dolce syrup, whipped cream, caramel drizzle",Yes,Yes,""
Hot Drinks,Specialty,Caramel Apple Spice,Grande,16,380,9,5,0,74,0,71,9,165,0,No,"Steamed apple juice, cinnamon dolce syrup, whipped cream, caramel drizzle",Yes,Yes,""
Hot Drinks,Specialty,Caramel Apple Spice,Venti,20,460,10,6,0,90,0,86,11,200,0,No,"Steamed apple juice, cinnamon dolce syrup, whipped cream, caramel drizzle",Yes,Yes,""
Frappuccino,Coffee,Caramel Frappuccino,Tall,12,260,9,6,0,41,0,40,4,180,75,No,"Ice, 2% milk, coffee frappuccino syrup, caramel sauce, whipped cream, caramel drizzle",No,No,""
Frappuccino,Coffee,Caramel Frappuccino,Grande,16,380,14,9,0,60,0,59,5,260,95,No,"Ice, 2% milk, coffee frappuccino syrup, caramel sauce, whipped cream, caramel drizzle",No,No,""
Frappuccino,Coffee,Caramel Frappuccino,Venti,24,470,17,11,0,74,0,73,7,325,130,No,"Ice, 2% milk, coffee frappuccino syrup, caramel sauce, whipped cream, caramel drizzle",No,No,""
Frappuccino,Coffee,Coffee Frappuccino,Tall,12,160,2,1,0,28,0,26,5,140,75,No,"Ice, 2% milk, coffee frappuccino syrup",No,No,"Lower calorie frappuccino"
Frappuccino,Coffee,Coffee Frappuccino,Grande,16,230,3,2,0,41,0,40,7,200,95,No,"Ice, 2% milk, coffee frappuccino syrup",No,No,""
Frappuccino,Coffee,Coffee Frappuccino,Venti,24,310,4,3,0,55,0,53,9,270,130,No,"Ice, 2% milk, coffee frappuccino syrup",No,No,""
Frappuccino,Coffee,Caffe Vanilla Frappuccino,Tall,12,280,8,5,0,47,0,45,5,180,75,No,"Ice, 2% milk, coffee frappuccino syrup, vanilla bean powder, whipped cream",No,No,""
Frappuccino,Coffee,Caffe Vanilla Frappuccino,Grande,16,410,12,8,0,69,0,67,7,265,95,No,"Ice, 2% milk, coffee frappuccino syrup, vanilla bean powder, whipped cream",No,No,""
Frappuccino,Coffee,Caffe Vanilla Frappuccino,Venti,24,510,15,10,0,87,0,84,9,335,130,No,"Ice, 2% milk, coffee frappuccino syrup, vanilla bean powder, whipped cream",No,No,""
Frappuccino,Coffee,Espresso Frappuccino,Tall,12,140,1,0,0,26,0,25,5,145,155,No,"Ice, 2% milk, espresso, frappuccino syrup",No,No,""
Frappuccino,Coffee,Espresso Frappuccino,Grande,16,210,2,1,0,39,0,38,7,215,185,No,"Ice, 2% milk, espresso, frappuccino syrup",No,No,""
Frappuccino,Coffee,Espresso Frappuccino,Venti,24,290,3,2,0,53,0,52,9,295,250,No,"Ice, 2% milk, espresso, frappuccino syrup",No,No,""
Frappuccino,Coffee,Java Chip Frappuccino,Tall,12,320,13,8,0,49,2,47,5,210,75,No,"Ice, 2% milk, coffee frappuccino syrup, mocha sauce, Frappuccino chips, whipped cream, mocha drizzle",No,No,""
Frappuccino,Coffee,Java Chip Frappuccino,Grande,16,440,18,11,0,67,2,65,7,300,105,No,"Ice, 2% milk, coffee frappuccino syrup, mocha sauce, Frappuccino chips, whipped cream, mocha drizzle",No,No,""
Frappuccino,Coffee,Java Chip Frappuccino,Venti,24,560,23,14,0,86,3,83,9,390,145,No,"Ice, 2% milk, coffee frappuccino syrup, mocha sauce, Frappuccino chips, whipped cream, mocha drizzle",No,No,""
Frappuccino,Coffee,Mocha Frappuccino,Tall,12,250,8,5,0,43,1,41,5,210,95,No,"Ice, 2% milk, coffee frappuccino syrup, mocha sauce, whipped cream",No,No,""
Frappuccino,Coffee,Mocha Frappuccino,Grande,16,370,11,7,0,63,2,60,7,300,130,No,"Ice, 2% milk, coffee frappuccino syrup, mocha sauce, whipped cream",No,No,""
